timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,stExtOut; gasStorage,gen; electrolysis,use; methanation,use; gasPlant < ocgt < hydrogenFueled,stExtIn; gasStorage
30th < 2035,30th < 2035 < d043,West,217.56931394289012,,,-217.56931394288904,
30th < 2035,30th < 2035 < d044,East,182.68655833430304,,,-182.68655833430302,
30th < 2035,30th < 2035 < d044,West,203.01549835788114,,,-203.01549835788114,
30th < 2035,30th < 2035 < d045,East,182.68655833428198,,,-182.68655833430302,
30th < 2035,30th < 2035 < d045,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d046,East,182.68655833428198,,,-182.68655833430302,
30th < 2035,30th < 2035 < d046,West,217.56931394291865,,,-217.56931394288904,
30th < 2035,30th < 2035 < d047,East,182.68655833430304,,,-182.68655833430302,
30th < 2035,30th < 2035 < d047,West,217.56931394396813,,,-217.56931394288904,
30th < 2035,30th < 2035 < d048,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d048,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d049,East,182.68655833430287,,,-182.68655833430302,
30th < 2035,30th < 2035 < d049,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d050,East,181.9134940537042,,,-181.91349405373373,
30th < 2035,30th < 2035 < d050,West,212.55580689828167,,,-212.55580689828165,
30th < 2035,30th < 2035 < d051,East,29.43416593864386,92.35687295089147,,-121.79103888953533,
30th < 2035,30th < 2035 < d051,West,47.68376670430803,98.30774388112673,,-145.99151058543475,
30th < 2035,30th < 2035 < d052,East,163.76494031861714,0.4264211341873657,,-164.19136145282934,
30th < 2035,30th < 2035 < d052,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d053,East,40.79690592838684,52.88123942114436,,-93.67814534954135,
30th < 2035,30th < 2035 < d053,West,117.62422441975679,0.2258206340257412,,-117.8500450523982,
30th < 2035,30th < 2035 < d054,East,,89.29338227787548,,-89.29338227787552,
30th < 2035,30th < 2035 < d054,West,42.856160662441255,32.192479549036264,,-75.04864021147756,
30th < 2035,30th < 2035 < d055,East,,88.15244030129115,,-53.28357951417171,-34.86886078711945
30th < 2035,30th < 2035 < d055,West,,103.45646372416499,,-91.54843342998926,-11.908030294175731
30th < 2035,30th < 2035 < d056,East,182.68655833430304,,,-182.68655833430302,
30th < 2035,30th < 2035 < d056,West,217.569313942889,,,-217.56931394288904,
30th < 2035,30th < 2035 < d057,East,182.68655833430287,,,-182.68655833430302,
30th < 2035,30th < 2035 < d057,West,217.569313942889,,,-217.56931394288904,
30th < 2035,30th < 2035 < d058,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d058,West,217.569313942889,,,-217.56931394288904,
30th < 2035,30th < 2035 < d059,East,66.8409094744292,45.71202691015253,,-112.55293638461646,
30th < 2035,30th < 2035 < d059,West,81.26096786147505,29.42217842643862,,-110.68314628791367,
30th < 2035,30th < 2035 < d060,East,,281.6805367881601,,,-281.6805367881601
30th < 2035,30th < 2035 < d060,West,,162.6941626284413,,,-162.6941626284413
30th < 2035,30th < 2035 < d061,East,,184.63545632437302,,-45.67163958357575,-138.96381674079728
30th < 2035,30th < 2035 < d061,West,,161.28120941783195,,-54.39232848572226,-106.88888093210969
30th < 2035,30th < 2035 < d062,East,34.854868574526726,90.66085903923162,,-125.51572761375834,
30th < 2035,30th < 2035 < d062,West,91.15660984289669,72.02037561427002,,-163.17698545716672,
30th < 2035,30th < 2035 < d063,East,122.73115687089219,14.283761879835055,,-137.01491875072725,
30th < 2035,30th < 2035 < d063,West,171.78996942915919,,,-171.78996942915919,
30th < 2035,30th < 2035 < d064,East,156.61669810332342,3.5225556144752597,,-160.13925371779885,
30th < 2035,30th < 2035 < d064,West,165.9398933357246,10.111879739937702,,-176.0517730756623,
30th < 2035,30th < 2035 < d065,East,181.69421783970796,,,-181.69421783970796,
30th < 2035,30th < 2035 < d065,West,194.2766883788514,1.0587246102908852,,-195.3354129891335,
30th < 2035,30th < 2035 < d066,East,29.63069277857696,92.16034611095837,,-121.79103888953533,
30th < 2035,30th < 2035 < d066,West,101.22230633057261,58.83288945574358,,-160.05519578631618,
30th < 2035,30th < 2035 < d067,East,36.990816546938646,88.93013884859411,,-125.92095539553277,
30th < 2035,30th < 2035 < d067,West,52.98223417151707,94.58437940213722,,-147.5666135736441,
30th < 2035,30th < 2035 < d068,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d068,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d069,East,165.60077421540333,,,-165.60077421540396,
30th < 2035,30th < 2035 < d069,West,217.56931394286158,,,-217.56931394288904,
30th < 2035,30th < 2035 < d070,East,67.36870189883415,69.6462168518931,,-137.01491875072725,
30th < 2035,30th < 2035 < d070,West,142.0508025623346,21.126182894832176,,-163.17698545716672,
30th < 2035,30th < 2035 < d071,East,97.73498359325168,46.891875088071515,,-144.6268586813232,
30th < 2035,30th < 2035 < d071,West,132.84955760265387,39.392815935466565,,-172.24237353812043,
30th < 2035,30th < 2035 < d072,East,182.68655833430302,,,-182.686558334303,
30th < 2035,30th < 2035 < d072,West,217.56931394289012,,,-217.56931394288904,
30th < 2035,30th < 2035 < d073,East,182.68655833430287,,,-182.68655833430302,
30th < 2035,30th < 2035 < d073,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d074,East,142.53856241273343,,,-142.53856241276762,
30th < 2035,30th < 2035 < d074,West,214.95401259497743,,,-214.95401259497746,
30th < 2035,30th < 2035 < d075,East,43.18943815364211,60.53924186605633,,-103.72868001966137,
30th < 2035,30th < 2035 < d075,West,183.7809485635587,,,-183.7809485635587,
30th < 2035,30th < 2035 < d076,East,76.52061061953368,60.49430813121403,,-137.0149187507477,
30th < 2035,30th < 2035 < d076,West,172.24237353812043,,,-172.2423735381204,
30th < 2035,30th < 2035 < d077,East,101.605981985861,39.98494798480816,,-141.5909299706693,
30th < 2035,30th < 2035 < d077,West,164.48910741102767,7.7532661270928,,-172.24237353812043,
30th < 2035,30th < 2035 < d078,East,161.049385651236,0.129312062727036,,-161.17869771396323,
30th < 2035,30th < 2035 < d078,West,179.2545448074237,2.0532168116504197,,-181.30776161907414,
30th < 2035,30th < 2035 < d079,East,182.68655833430304,,,-182.68655833430302,
30th < 2035,30th < 2035 < d079,West,217.569313942889,,,-217.56931394288904,
30th < 2035,30th < 2035 < d080,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d080,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d081,East,19.79742470082529,70.65122101854669,,-90.44864571937198,
30th < 2035,30th < 2035 < d081,West,84.85136077425001,28.88346970823828,,-113.73483048248829,
30th < 2035,30th < 2035 < d082,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d082,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d083,East,182.68655833430302,,,-182.68655833430302,
30th < 2035,30th < 2035 < d083,West,217.569313942889,,,-217.56931394288904,
30th < 2035,30th < 2035 < d084,East,182.68655833430287,,,-182.68655833430302,
30th < 2035,30th < 2035 < d084,West,217.56931394288904,,,-217.56931394288904,
30th < 2035,30th < 2035 < d085,East,182.68655833430287,,,-182.68655833430302,
30th < 2035,30th < 2035 < d085,West,66.54783890016958,88.96686705679477,,-155.51470595696435,
30th < 2035,30th < 2035 < d086,East,124.01085494236794,20.616003738955204,,-144.62685868132323,
30th < 2035,30th < 2035 < d086,West,149.94431331824694,22.29806021987352,,-172.24237353812046,
30th < 2035,30th < 2035 < d087,East,,121.91361190619045,,-90.59426883171167,-31.31934307447876
30th < 2035,30th < 2035 < d087,West,,198.1372240536615,,-90.65388080953709,-107.48334324412441
30th < 2035,30th < 2035 < d088,East,,368.6413844438334,,,-368.64138444383343
30th < 2035,30th < 2035 < d088,West,,520.986399822818,,,-520.986399822818
30th < 2035,30th < 2035 < d089,East,,365.89897188123456,,,-365.89897188123456
30th < 2035,30th < 2035 < d089,West,,441.22903219007463,,,-441.22903219007463
30th < 2035,30th < 2035 < d090,East,,368.64138444383354,,,-368.64138444383354
30th < 2035,30th < 2035 < d090,West,,508.66786231905803,,,-508.66786231905803
30th < 2035,30th < 2035 < d091,East,,366.24421732640945,,,-366.24421732640945
30th < 2035,30th < 2035 < d091,West,,380.2962959037975,,,-380.2962959037975
30th < 2035,30th < 2035 < d092,East,,202.41375042031427,,-45.67163958357575,-156.7421108367853
30th < 2035,30th < 2035 < d092,West,,167.9780826936882,,-54.392328485722246,-113.58575420796596
30th < 2035,30th < 2035 < d093,East,51.56216660899457,70.22887228054076,,-121.79103888953533,
30th < 2035,30th < 2035 < d093,West,153.7783572137897,9.398628243360422,,-163.17698545716672,
30th < 2035,30th < 2035 < d094,East,42.43115325463236,78.85551388659225,,-121.2866671412273,
30th < 2035,30th < 2035 < d094,West,120.13137022718657,24.914839068072766,,-145.04620929525933,
30th < 2035,30th < 2035 < d095,East,,146.11551639315957,,-106.5671590283434,-39.548357364816184
30th < 2035,30th < 2035 < d095,West,,182.14334440602667,,-126.91543313336435,-55.22791127266234
30th < 2035,30th < 2035 < d096,East,43.08245875661869,78.70858013291664,,-121.79103888953533,
30th < 2035,30th < 2035 < d096,West,6.275397446008476,131.70179071621263,,-137.9771881622211,
30th < 2035,30th < 2035 < d097,East,33.18084690455347,88.61019198496716,,-121.79103888953533,
30th < 2035,30th < 2035 < d097,West,21.19711388658076,123.84909540867855,,-145.0462092952593,
30th < 2035,30th < 2035 < d098,East,160.92262395319003,,,-160.922623953173,
30th < 2035,30th < 2035 < d098,West,76.3859480627198,78.76795012737044,,-155.15389819009025,
30th < 2035,30th < 2035 < d099,East,30.939039563279184,92.10621854431872,,-123.0452581076087,
30th < 2035,30th < 2035 < d099,West,17.129663184936504,127.91654611033317,,-145.04620929526968,
30th < 2035,30th < 2035 < d100,East,,93.33298074984616,,-71.79547089791937,-21.537509851926785
30th < 2035,30th < 2035 < d100,West,,120.87580975629203,,-93.8408711700401,-27.034938586251926
30th < 2035,30th < 2035 < d101,East,,228.99843709963534,,,-228.99843709963537
30th < 2035,30th < 2035 < d101,West,,202.56004187206605,,-45.32694040476855,-157.2331014672975
30th < 2035,30th < 2035 < d102,East,,201.56877936037623,,-18.97605212843707,-182.5927272319321
30th < 2035,30th < 2035 < d102,West,,194.430672741068,,-120.57616852002883,-73.85450422103918
30th < 2035,30th < 2035 < d103,East,,202.10495644935781,,-76.11939930595956,-125.98555714339825
30th < 2035,30th < 2035 < d103,West,,181.1944845186633,,-126.91543313335191,-54.27905138531139
30th < 2035,30th < 2035 < d104,East,,144.9628665489848,,-106.5671590283434,-38.39570752064141
30th < 2035,30th < 2035 < d104,West,,184.06673631397638,,-126.91543313335191,-57.15130318062448
30th < 2035,30th < 2035 < d105,East,,147.67352994934564,,-106.5671590283434,-41.10637092101625
30th < 2035,30th < 2035 < d105,West,,169.56328144857738,,-126.91543313335191,-42.647848315228124
30th < 2035,30th < 2035 < d106,East,8.385523488814528,105.79357547009815,,-114.17909895893936,
30th < 2035,30th < 2035 < d106,West,88.45148192102494,55.67333179767465,,-144.12481371869967,
30th < 2035,30th < 2035 < d107,East,,72.49415038090453,,-72.49415038090454,
30th < 2035,30th < 2035 < d107,West,69.99510425366344,20.658776555873636,,-90.65388080953709,
30th < 2035,30th < 2035 < d108,East,,157.89605134653462,,-22.784973683143335,-135.11107766339128
30th < 2035,30th < 2035 < d108,West,,331.0304874784054,,,-331.0304874784054
30th < 2035,30th < 2035 < d109,East,,133.20490690993836,,-53.28357951417171,-79.92132739576734
30th < 2035,30th < 2035 < d109,West,,229.64041469962612,,-50.580791124494624,-179.0596235751315
30th < 2035,30th < 2035 < d110,East,31.191407951283033,90.59963093827207,,-121.79103888953533,
30th < 2035,30th < 2035 < d110,West,34.8717322654694,101.10908894883619,,-135.9808212143056,
30th < 2035,30th < 2035 < d111,East,,136.2344286383588,,-86.03922068963206,-50.19520794872675
30th < 2035,30th < 2035 < d111,West,,179.7332780997441,,-126.91543313335191,-52.81784496639219
30th < 2035,30th < 2035 < d112,East,31.474919169674163,59.868359997477306,,-91.34327916715148,
30th < 2035,30th < 2035 < d112,West,,174.64333972554968,,-120.62456940362154,-54.018770321928145
30th < 2035,30th < 2035 < d113,East,72.47626752597363,56.92671129415757,,-129.4029788201313,
30th < 2035,30th < 2035 < d113,West,108.45143913678147,41.55861395705651,,-150.01005309348676,
30th < 2035,30th < 2035 < d114,East,39.212950405614684,90.1900284145166,,-129.4029788201313,
30th < 2035,30th < 2035 < d114,West,37.60444092521735,107.44176837001442,,-145.04620929525933,
30th < 2035,30th < 2035 < d115,East,78.35870796522711,51.04427085490413,,-129.4029788201313,
30th < 2035,30th < 2035 < d115,West,136.99900370546615,11.727208357223063,,-148.72621206268803,
30th < 2035,30th < 2035 < d116,East,11.661357277701608,110.12968161185697,,-121.79103888953533,
30th < 2035,30th < 2035 < d116,West,139.1416120509343,5.904597244325016,,-145.04620929525933,
30th < 2035,30th < 2035 < d117,East,48.55730549888251,62.32311679980651,,-110.88042229868903,
30th < 2035,30th < 2035 < d117,West,111.1653799625744,24.815441251731233,,-135.98082121430565,
30th < 2035,30th < 2035 < d118,East,156.9121404001856,,,-156.91214040019932,
30th < 2035,30th < 2035 < d118,West,18.07457245331136,123.02571541007237,,-141.10028786338373,
30th < 2035,30th < 2035 < d119,East,12.99459213697142,108.79644675256391,,-121.79103888953533,
30th < 2035,30th < 2035 < d119,West,,139.82952318070215,,-130.90043301919118,-8.92909016151097
30th < 2035,30th < 2035 < d120,East,6.658695162821279,107.52040379611805,,-114.17909895893936,
30th < 2035,30th < 2035 < d120,West,21.797506195966832,114.18331501833876,,-135.9808212143056,
30th < 2035,30th < 2035 < d121,East,121.79103888960901,,,-121.79103888960901,
30th < 2035,30th < 2035 < d121,West,203.66337150921342,,,-203.6633715092108,
30th < 2035,30th < 2035 < d122,East,119.85768831809096,6.925607427168751,,-126.78329574525976,
30th < 2035,30th < 2035 < d122,West,154.11159737623763,,,-154.111597376213,
30th < 2035,30th < 2035 < d123,East,,138.56765198385648,,-47.069614379039656,-91.49803760481682
30th < 2035,30th < 2035 < d123,West,,156.20649652981916,,-72.52310464762519,-83.68339188217557
30th < 2035,30th < 2035 < d124,East,,132.7587269287944,,-60.895519444767665,-71.86320748402673
30th < 2035,30th < 2035 < d124,West,,105.72634832545366,,-36.26155232381484,-69.46479600163882
30th < 2035,30th < 2035 < d125,East,,312.4263853718444,,,-312.4263853718444
30th < 2035,30th < 2035 < d125,West,,358.06243916211895,,,-358.06243916211895
30th < 2035,30th < 2035 < d126,East,,166.20069860460399,,-30.447759722383832,-135.75293888222015
30th < 2035,30th < 2035 < d126,West,,248.43069638646895,,,-248.43069638646895
30th < 2035,30th < 2035 < d127,East,,153.6789896564189,,-45.67163958357575,-108.00735007284317
30th < 2035,30th < 2035 < d127,West,,160.1483283285374,,-80.0445004755403,-80.10382785299709
30th < 2035,30th < 2035 < d128,East,,101.43798104684815,,-101.43798104684815,
30th < 2035,30th < 2035 < d128,West,62.55767564910815,55.29236940329005,,-117.8500450523982,
30th < 2035,30th < 2035 < d129,East,,292.85194329045504,,,-292.85194329045504
30th < 2035,30th < 2035 < d129,West,,295.4730753303679,,,-295.4730753303679
30th < 2035,30th < 2035 < d130,East,,275.18028005369484,,-33.380528400011826,-241.79975165369592
30th < 2035,30th < 2035 < d130,West,,280.935758885051,,-54.39232848572226,-226.5434303993287
30th < 2035,30th < 2035 < d131,East,,152.07878173243418,,-45.67163958357575,-106.4071421488604
30th < 2035,30th < 2035 < d131,West,,180.86392147169406,,-102.16061987327099,-78.70330159842307
30th < 2035,30th < 2035 < d132,East,,174.9531838512448,,-60.895519444767686,-114.05766440647712
30th < 2035,30th < 2035 < d132,West,,196.24460898884666,,-72.52310464762967,-123.7215043412051
30th < 2035,30th < 2035 < d133,East,,157.16831974094487,,-38.059699652979745,-119.10862008796512
30th < 2035,30th < 2035 < d133,West,,188.06398169133894,,-47.154673203760424,-140.90930848757793
30th < 2035,30th < 2035 < d134,East,,164.75420713870173,,-91.34327916715148,-73.41092797147695
30th < 2035,30th < 2035 < d134,West,,176.4240148015282,,-111.80037377407407,-64.62364102745411
30th < 2035,30th < 2035 < d135,East,12.336479495846985,101.84261946309238,,-114.17909895893936,
30th < 2035,30th < 2035 < d135,West,,129.97057174006957,,-125.41978213542099,-4.550789604648579
30th < 2035,30th < 2035 < d136,East,,126.22394366244066,,-91.34327916715148,-34.8806644952892
30th < 2035,30th < 2035 < d136,West,,155.7458945068686,,-109.17935639407862,-46.566538112789985
30th < 2035,30th < 2035 < d137,East,,153.60057685159722,,-98.95521909774743,-54.64535775384747
30th < 2035,30th < 2035 < d137,West,,200.06393202249222,,-117.8500450523982,-82.21388697007512
30th < 2035,30th < 2035 < d138,East,,132.68577963682276,,-60.895519444767665,-71.79026019205509
30th < 2035,30th < 2035 < d138,West,,203.21209132759745,,-72.52310464762967,-130.6889866799678
30th < 2035,30th < 2035 < d139,East,,133.22336777562788,,-38.05969965297979,-95.16366812264808
30th < 2035,30th < 2035 < d139,West,,202.33997082238776,,-63.06689648093476,-139.273074341453
30th < 2035,30th < 2035 < d140,East,77.05250983921154,44.73852905032378,,-121.79103888953532,
30th < 2035,30th < 2035 < d140,West,38.16930863967223,99.20332620520934,,-137.3726348449078,
30th < 2035,30th < 2035 < d141,East,72.9236662439428,48.867372645592525,,-121.79103888953533,
30th < 2035,30th < 2035 < d141,West,0.22345826082164422,126.05384205144587,,-126.27730031224552,
30th < 2035,30th < 2035 < d142,East,38.39737158225732,83.39366730727801,,-121.79103888953533,
30th < 2035,30th < 2035 < d142,West,,189.01494696873678,,-122.48381574423374,-66.53113122447394
30th < 2035,30th < 2035 < d143,East,,140.18900756762739,,-98.95521909774743,-41.23378846989184
30th < 2035,30th < 2035 < d143,West,,149.02176408652807,,-117.8500450523982,-31.1717190371401
30th < 2035,30th < 2035 < d144,East,,144.81920924305075,,-101.44495878177923,-43.374250461271515
30th < 2035,30th < 2035 < d144,West,,151.88743187273334,,-126.915433133352,-24.971998739381345
30th < 2035,30th < 2035 < d145,East,,117.67077743692411,,-111.00992033599638,-6.660857100938969
30th < 2035,30th < 2035 < d145,West,,140.61635883563474,,-117.8500450523982,-22.76631378323654
30th < 2035,30th < 2035 < d146,East,77.6982717657229,38.58655941684962,,-116.28483118254715,
30th < 2035,30th < 2035 < d146,West,,136.70399526350775,,-125.77484107255421,-10.929154190953527
30th < 2035,30th < 2035 < d147,East,78.67436223110533,43.1166766584207,,-121.79103888953533,
30th < 2035,30th < 2035 < d147,West,,160.01646355819196,,-126.91543313335191,-33.10103042484002
30th < 2035,30th < 2035 < d148,East,,155.77322314102392,,-98.95521909774743,-56.81800404325964
30th < 2035,30th < 2035 < d148,West,,201.6956689546281,,-117.8500450523982,-83.84562390222989
30th < 2035,30th < 2035 < d149,East,,91.19302344382373,,-60.895519444767665,-30.297503999062595
30th < 2035,30th < 2035 < d149,West,,193.76510364044765,,-72.52310464762974,-121.24199899281791
30th < 2035,30th < 2035 < d150,East,,163.08480516812028,,-33.255655734813814,-129.82914943327626
30th < 2035,30th < 2035 < d150,West,,203.17110992428195,,-45.32694040476855,-157.84416951951343
30th < 2035,30th < 2035 < d151,East,,295.18610388795315,,,-295.18610388795315
30th < 2035,30th < 2035 < d151,West,,262.35512761522887,,-8.839581213330405,-253.51554640189846
30th < 2035,30th < 2035 < d152,East,,110.30161955171576,,-59.04557425729765,-51.256045294427835
30th < 2035,30th < 2035 < d152,West,,101.31005457105553,,-55.208096643217424,-46.101957927838114
30th < 2035,30th < 2035 < d153,East,,355.3706965794228,,,-355.3706965794228
30th < 2035,30th < 2035 < d153,West,,364.5085286948063,,,-364.5085286948063
30th < 2035,30th < 2035 < d154,East,,274.0662613485299,,-38.05969965297979,-236.00656169553395
30th < 2035,30th < 2035 < d154,West,,231.48154735102483,,-45.32694040476855,-186.15460694625628
30th < 2035,30th < 2035 < d155,East,,145.01457427964942,,-106.5671590283434,-38.44741525126108
30th < 2035,30th < 2035 < d155,West,,163.6487142254657,,-126.91543313335191,-36.733281092091026
30th < 2035,30th < 2035 < d156,East,,148.7746702972832,,-67.42771301105043,-81.34695728623277
30th < 2035,30th < 2035 < d156,West,,175.24107812763359,,-126.91543313335191,-48.32564499428168
30th < 2035,30th < 2035 < d157,East,,163.2944575276802,,,-163.2944575276802
30th < 2035,30th < 2035 < d157,West,,196.35550377107717,,-96.23544171030896,-100.1200620607682
