timestep_superordinate_dispatch,region,technology,carrier,variable,value
20th < 2025,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,West < WestNorth,heatpump < ground < network,none,costOprConv,6.327513541009548
20th < 2025,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1766.1750791683364
20th < 2030,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,6.522159575892325
20th < 2030,West < WestNorth,gasBoiler,none,costOprConv,284.6362766574642
20th < 2030,West < WestNorth,heatpump < air,none,costOprConv,26.257716172827983
20th < 2030,West < WestNorth,heatpump < ground < individual,none,costOprConv,29.630158767687554
20th < 2030,West < WestNorth,wind < offshore,none,costOprConv,492.2089799250933
20th < 2030,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,West < WestNorth,heatpump < ground < network,none,costOprConv,5.731023963708337
20th < 2030,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1599.679184756553
30th < 2035,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,5.907320874512897
30th < 2035,West < WestNorth,gasBoiler,none,costOprConv,177.81303246658896
30th < 2035,West < WestNorth,heatpump < air,none,costOprConv,23.782422533499574
30th < 2035,West < WestNorth,heatpump < ground < individual,none,costOprConv,26.836947696046636
30th < 2035,West < WestNorth,wind < offshore,none,costOprConv,445.8088379931115
30th < 2035,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,West < WestNorth,heatpump < ground < network,none,costOprConv,5.190764975804207
30th < 2035,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1448.8787234776123
30th < 2040,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,West < WestNorth,gasBoiler,none,costOprConv,63.90578338647405
30th < 2040,West < WestNorth,heatpump < air,none,costOprConv,21.540472820983805
30th < 2040,West < WestNorth,heatpump < ground < individual,none,costOprConv,24.30705037010341
30th < 2040,West < WestNorth,wind < offshore,none,costOprConv,403.7827998648346
30th < 2040,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,West < WestNorth,heatpump < ground < network,none,costOprConv,5.255678720717359
30th < 2040,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1312.2940995607128
10th < 2020,West < WestSouth,gasPlant < ccgt < CHP,none,costOprConv,6.34894136946346
10th < 2020,West < WestSouth,gasBoiler,none,costOprConv,1375.218569512547
10th < 2020,West < WestSouth,heatpump < air,none,costOprConv,70.19199050351659
10th < 2020,West < WestSouth,heatpump < ground < individual,none,costOprConv,95.28100179863014
10th < 2020,West < WestSouth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,West < WestSouth,heatpump < ground < network,none,costOprConv,18.120414771296904
10th < 2020,West < WestSouth,wind < onshore < highFLH,none,costOprConv,1419.7115128648734
20th < 2025,West < WestSouth,gasPlant < ccgt < CHP,none,costOprConv,5.750431808126795
20th < 2025,West < WestSouth,gasBoiler,none,costOprConv,1023.159653851354
20th < 2025,West < WestSouth,heatpump < air,none,costOprConv,63.575048402323866
20th < 2025,West < WestSouth,heatpump < ground < individual,none,costOprConv,86.29893892047895
20th < 2025,West < WestSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,West < WestSouth,heatpump < ground < network,none,costOprConv,16.412217945260714
20th < 2025,West < WestSouth,wind < onshore < highFLH,none,costOprConv,1326.9144385762793
20th < 2030,West < WestSouth,gasPlant < ccgt < CHP,none,costOprConv,5.208343258446389
20th < 2030,West < WestSouth,gasBoiler,none,costOprConv,715.0588121752819
20th < 2030,West < WestSouth,heatpump < air,none,costOprConv,57.58188007441289
20th < 2030,West < WestSouth,heatpump < ground < individual,none,costOprConv,78.16360783590784
20th < 2030,West < WestSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,West < WestSouth,heatpump < ground < network,none,costOprConv,14.865051450666067
20th < 2030,West < WestSouth,wind < onshore < highFLH,none,costOprConv,1396.274897605862
30th < 2035,West < WestSouth,gasPlant < ccgt < CHP,none,costOprConv,4.834698407909714
30th < 2035,West < WestSouth,gasBoiler,none,costOprConv,460.9101174919025
30th < 2035,West < WestSouth,heatpump < air,none,costOprConv,53.450974735343024
30th < 2035,West < WestSouth,heatpump < ground < individual,none,costOprConv,72.55617604463863
30th < 2035,West < WestSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,West < WestSouth,heatpump < ground < network,none,costOprConv,13.798637496766858
30th < 2035,West < WestSouth,wind < onshore < highFLH,none,costOprConv,1370.694203618535
30th < 2040,West < WestSouth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,West < WestSouth,gasBoiler,none,costOprConv,172.6024278677229
30th < 2040,West < WestSouth,heatpump < air,none,costOprConv,49.61641920107815
30th < 2040,West < WestSouth,heatpump < ground < individual,none,costOprConv,67.35101958538515
30th < 2040,West < WestSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,West < WestSouth,heatpump < ground < network,none,costOprConv,13.800985919002054
30th < 2040,West < WestSouth,wind < onshore < highFLH,none,costOprConv,1272.3610474825657
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
10th < 2020,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStIn,6.750540309765542
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
10th < 2020,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStIn,40.25313841231299
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2040,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStIn,114.3939234802294
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
10th < 2020,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,costExpStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStIn,0.0
10th < 2020,East < EastNorth,districtHeatStorage,none,costOprStSize,2.7776846628543965
20th < 2025,East < EastNorth,districtHeatStorage,none,costOprStSize,2.5158345791392493
20th < 2030,East < EastNorth,districtHeatStorage,none,costOprStSize,2.278668890761898
30th < 2035,East < EastNorth,districtHeatStorage,none,costOprStSize,1.9655998018741319
30th < 2040,East < EastNorth,districtHeatStorage,none,costOprStSize,3.566308265542259
10th < 2020,East < EastSouth,districtHeatStorage,none,costOprStSize,6.912571412795613
20th < 2025,East < EastSouth,districtHeatStorage,none,costOprStSize,6.260928903718496
20th < 2030,East < EastSouth,districtHeatStorage,none,costOprStSize,5.670716206252481
30th < 2035,East < EastSouth,districtHeatStorage,none,costOprStSize,4.89160961326303
30th < 2040,East < EastSouth,districtHeatStorage,none,costOprStSize,8.908090920091743
10th < 2020,West < WestNorth,districtHeatStorage,none,costOprStSize,2.2975600264271403
20th < 2025,West < WestNorth,districtHeatStorage,none,costOprStSize,2.0809709033686965
20th < 2030,West < WestNorth,districtHeatStorage,none,costOprStSize,1.8847994615406216
30th < 2035,West < WestNorth,districtHeatStorage,none,costOprStSize,1.7071209426681764
30th < 2040,West < WestNorth,districtHeatStorage,none,costOprStSize,2.464536206639896
10th < 2020,West < WestSouth,districtHeatStorage,none,costOprStSize,5.445859275212434
20th < 2025,West < WestSouth,districtHeatStorage,none,costOprStSize,4.932482531557916
20th < 2030,West < WestSouth,districtHeatStorage,none,costOprStSize,4.467501397779865
30th < 2035,West < WestSouth,districtHeatStorage,none,costOprStSize,4.147004301253288
30th < 2040,West < WestSouth,districtHeatStorage,none,costOprStSize,5.680502708438965
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
10th < 2020,East < EastNorth,districtHeatStorage,none,costExpStSize,242.67725423875493
10th < 2020,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2025,East < EastNorth,districtHeatStorage,none,costExpStSize,219.80026600896792
20th < 2025,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2030,East < EastNorth,districtHeatStorage,none,costExpStSize,199.07987293313346
20th < 2030,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2035,East < EastNorth,districtHeatStorage,none,costExpStSize,171.72804718620404
30th < 2035,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2040,East < EastNorth,districtHeatStorage,none,costExpStSize,311.57672763380145
30th < 2040,East < EastNorth,solar < rooftop < photovoltaic,none,costExpStSize,96.69365330709977
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
10th < 2020,East < EastSouth,districtHeatStorage,none,costExpStSize,603.9288305904018
10th < 2020,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2025,East < EastSouth,districtHeatStorage,none,costExpStSize,546.9969488102787
20th < 2025,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2030,East < EastSouth,districtHeatStorage,none,costExpStSize,495.4319894204269
20th < 2030,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2035,East < EastSouth,districtHeatStorage,none,costExpStSize,427.36398613898234
30th < 2035,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2040,East < EastSouth,districtHeatStorage,none,costExpStSize,778.2708649064414
30th < 2040,East < EastSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
10th < 2020,West < WestNorth,districtHeatStorage,none,costExpStSize,200.7303298744846
10th < 2020,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2025,West < WestNorth,districtHeatStorage,none,costExpStSize,181.8076442346431
20th < 2025,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2030,West < WestNorth,districtHeatStorage,none,costExpStSize,164.66878484591257
20th < 2030,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2035,West < WestNorth,districtHeatStorage,none,costExpStSize,149.14559185219656
30th < 2035,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStSize,522.3234324485453
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,costExpStSize,0.0
30th < 2040,West < WestNorth,districtHeatStorage,none,costExpStSize,215.3184944272121
30th < 2040,West < WestNorth,solar < rooftop < photovoltaic,none,costExpStSize,1861.1326739756244
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
10th < 2020,West < WestSouth,districtHeatStorage,none,costExpStSize,475.7869723488067
10th < 2020,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2025,West < WestSouth,districtHeatStorage,none,costExpStSize,430.9349197720086
20th < 2025,West < WestSouth,solar < rooftop < photovoltaic,none,costExpStSize,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,costExpStSize,0.0
20th < 2030,West < WestSouth,districtHeatStorage,none,costExpStSize,390.31103386909115
