timestep_superordinate_dispatch,region,technology,carrier,variable,value
10th < 2020,none,none,electricity,costExpExc,547.7316845234793
20th < 2025,none,none,electricity,costExpExc,496.097462192955
20th < 2030,none,none,electricity,costExpExc,449.3307561865912
30th < 2035,none,none,electricity,costExpExc,397.28468353145115
30th < 2040,none,none,electricity,costExpExc,511.42121508912976
10th < 2020,East,methanation,none,costVarUse,0.0
20th < 2025,East,methanation,none,costVarUse,0.0
20th < 2030,East,methanation,none,costVarUse,0.0
30th < 2035,East,methanation,none,costVarUse,0.0
30th < 2040,East,methanation,none,costVarUse,8180.625448575793
10th < 2020,West,methanation,none,costVarUse,0.0
20th < 2025,West,methanation,none,costVarUse,0.0
20th < 2030,West,methanation,none,costVarUse,0.0
30th < 2035,West,methanation,none,costVarUse,0.0
30th < 2040,West,methanation,none,costVarUse,839.4369610963644
10th < 2020,East,none,coal,costTrdBuy,310.14203033447166
10th < 2020,East,none,gas < naturalGas < fossilGas,costTrdBuy,19776.145652682124
10th < 2020,East,none,gas < hydrogen,costTrdBuy,0.0
10th < 2020,West,none,coal,costTrdBuy,0.0
10th < 2020,West,none,gas < naturalGas < fossilGas,costTrdBuy,18938.048222144418
10th < 2020,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,East,none,coal,costTrdBuy,0.0
20th < 2025,East,none,gas < naturalGas < fossilGas,costTrdBuy,14453.151220690146
20th < 2025,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,West,none,coal,costTrdBuy,0.0
20th < 2025,West,none,gas < naturalGas < fossilGas,costTrdBuy,13338.264623852892
20th < 2025,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,East,none,coal,costTrdBuy,0.0
20th < 2030,East,none,gas < naturalGas < fossilGas,costTrdBuy,10472.531487767941
20th < 2030,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,West,none,coal,costTrdBuy,0.0
20th < 2030,West,none,gas < naturalGas < fossilGas,costTrdBuy,10472.531487767941
20th < 2030,West,none,gas < hydrogen,costTrdBuy,0.0
30th < 2035,East,none,coal,costTrdBuy,0.0
30th < 2035,East,none,gas < naturalGas < fossilGas,costTrdBuy,5593.522177712168
30th < 2035,East,none,gas < hydrogen,costTrdBuy,0.0
30th < 2035,West,none,coal,costTrdBuy,0.0
30th < 2035,West,none,gas < naturalGas < fossilGas,costTrdBuy,3612.1506972725765
30th < 2035,West,none,gas < hydrogen,costTrdBuy,0.0
30th < 2040,East,none,coal,costTrdBuy,0.0
30th < 2040,East,none,gas < hydrogen,costTrdBuy,0.0
30th < 2040,West,none,coal,costTrdBuy,0.0
30th < 2040,West,none,gas < hydrogen,costTrdBuy,0.0
10th < 2020,East,autoReforming,none,costOprConv,0.0
10th < 2020,East,methanation,none,costOprConv,0.0
10th < 2020,East,gasPlant < ocgt < gasFueled,none,costOprConv,2516.2524588742494
10th < 2020,East,electrolysis,none,costOprConv,0.0
20th < 2025,East,autoReforming,none,costOprConv,0.0
20th < 2025,East,methanation,none,costOprConv,0.0
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2025,East,gasPlant < ocgt < gasFueled,none,costOprConv,2237.7389459851183
20th < 2025,East,electrolysis,none,costOprConv,0.0
20th < 2030,East,autoReforming,none,costOprConv,0.0
20th < 2030,East,methanation,none,costOprConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2030,East,gasPlant < ocgt < gasFueled,none,costOprConv,1910.6625879735109
20th < 2030,East,electrolysis,none,costOprConv,0.0
30th < 2035,East,autoReforming,none,costOprConv,0.0
30th < 2035,East,methanation,none,costOprConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,341.1589587459463
30th < 2035,East,gasPlant < ocgt < gasFueled,none,costOprConv,1513.9436936067864
30th < 2035,East,electrolysis,none,costOprConv,360.43298528675376
10th < 2020,West,autoReforming,none,costOprConv,0.0
10th < 2020,West,methanation,none,costOprConv,0.0
10th < 2020,West,gasPlant < ocgt < gasFueled,none,costOprConv,2658.252863382712
10th < 2020,West,electrolysis,none,costOprConv,0.0
20th < 2025,West,autoReforming,none,costOprConv,0.0
20th < 2025,West,methanation,none,costOprConv,0.0
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2025,West,gasPlant < ocgt < gasFueled,none,costOprConv,2407.6615186843164
20th < 2025,West,electrolysis,none,costOprConv,0.0
20th < 2030,West,autoReforming,none,costOprConv,0.0
20th < 2030,West,methanation,none,costOprConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2030,West,gasPlant < ocgt < gasFueled,none,costOprConv,2180.6932171142707
20th < 2030,West,electrolysis,none,costOprConv,0.0
30th < 2035,West,autoReforming,none,costOprConv,0.0
30th < 2035,West,methanation,none,costOprConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,410.5620741479382
30th < 2035,West,gasPlant < ocgt < gasFueled,none,costOprConv,1421.179754679241
30th < 2035,West,electrolysis,none,costOprConv,520.783028491628
30th < 2040,East,autoReforming,none,costOprConv,0.0
30th < 2040,East,methanation,none,costOprConv,727.2431278202023
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,3417.3659407235823
30th < 2040,East,gasPlant < ocgt < gasFueled,none,costOprConv,0.0
30th < 2040,East,electrolysis,none,costOprConv,533.8491802875149
30th < 2040,West,autoReforming,none,costOprConv,0.0
30th < 2040,West,methanation,none,costOprConv,139.41869868869162
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,2450.555314033751
30th < 2040,West,gasPlant < ocgt < gasFueled,none,costOprConv,0.0
30th < 2040,West,electrolysis,none,costOprConv,1315.1117358572053
10th < 2020,East < EastNorth,coalPlant,none,costOprConv,1522.2881997233633
10th < 2020,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,58.528100102879
10th < 2020,East < EastNorth,gasBoiler,none,costOprConv,809.0395282657785
10th < 2020,East < EastNorth,heatpump < air,none,costOprConv,29.179752060221876
10th < 2020,East < EastNorth,heatpump < ground < individual,none,costOprConv,37.56549430721384
10th < 2020,East < EastNorth,wind < offshore,none,costOprConv,1200.0
10th < 2020,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,East < EastNorth,heatpump < ground < network,none,costOprConv,15.738391616648908
10th < 2020,East < EastNorth,wind < onshore < highFLH,none,costOprConv,938.5815237781779
20th < 2025,East < EastNorth,coalPlant,none,costOprConv,0.0
20th < 2025,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,53.010703503986974
20th < 2025,East < EastNorth,gasBoiler,none,costOprConv,639.040811926798
20th < 2025,East < EastNorth,heatpump < air,none,costOprConv,26.429000464140916
20th < 2025,East < EastNorth,heatpump < ground < individual,none,costOprConv,34.02422558053389
20th < 2025,East < EastNorth,wind < offshore,none,costOprConv,1086.8769717958992
20th < 2025,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,East < EastNorth,heatpump < ground < network,none,costOprConv,14.254746184367775
20th < 2025,East < EastNorth,wind < onshore < highFLH,none,costOprConv,850.1022036230056
20th < 2030,East < EastNorth,coalPlant,none,costOprConv,0.0
20th < 2030,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,48.01342741431969
20th < 2030,East < EastNorth,gasBoiler,none,costOprConv,458.5444434671043
20th < 2030,East < EastNorth,heatpump < air,none,costOprConv,23.937559993381573
20th < 2030,East < EastNorth,heatpump < ground < individual,none,costOprConv,30.816789388892694
20th < 2030,East < EastNorth,wind < offshore,none,costOprConv,984.4179598501865
20th < 2030,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,East < EastNorth,heatpump < ground < network,none,costOprConv,13.227551668158563
20th < 2030,East < EastNorth,wind < onshore < highFLH,none,costOprConv,769.963757325661
30th < 2035,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,41.41680425598359
30th < 2035,East < EastNorth,gasBoiler,none,costOprConv,287.33463978552606
30th < 2035,East < EastNorth,heatpump < air,none,costOprConv,20.648749527013873
30th < 2035,East < EastNorth,heatpump < ground < individual,none,costOprConv,26.582833233375524
30th < 2035,East < EastNorth,wind < offshore,none,costOprConv,849.167579672308
30th < 2035,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,East < EastNorth,heatpump < ground < network,none,costOprConv,12.39701193920882
30th < 2035,East < EastNorth,wind < onshore < highFLH,none,costOprConv,1542.8075420792034
30th < 2040,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,East < EastNorth,gasBoiler,none,costOprConv,111.81739197621154
30th < 2040,East < EastNorth,heatpump < air,none,costOprConv,17.81179272855052
30th < 2040,East < EastNorth,heatpump < ground < individual,none,costOprConv,22.93058546092902
30th < 2040,East < EastNorth,wind < offshore,none,costOprConv,732.4994136395724
30th < 2040,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,East < EastNorth,heatpump < ground < network,none,costOprConv,17.025428550250506
30th < 2040,East < EastNorth,wind < onshore < highFLH,none,costOprConv,1373.4364005741982
10th < 2020,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,73.2919451738755
10th < 2020,East < EastSouth,gasBoiler,none,costOprConv,2034.3004241603146
10th < 2020,East < EastSouth,heatpump < air,none,costOprConv,73.02024793977813
10th < 2020,East < EastSouth,heatpump < ground < individual,none,costOprConv,93.83450569278617
10th < 2020,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,East < EastSouth,heatpump < ground < network,none,costOprConv,61.089225116810574
10th < 2020,East < EastSouth,wind < onshore < highFLH,none,costOprConv,853.5716363760141
20th < 2025,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,66.38277285634406
20th < 2025,East < EastSouth,gasBoiler,none,costOprConv,1542.5280562668363
20th < 2025,East < EastSouth,heatpump < air,none,costOprConv,66.1366883004765
20th < 2025,East < EastSouth,heatpump < ground < individual,none,costOprConv,84.98880283111707
20th < 2025,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,East < EastSouth,heatpump < ground < network,none,costOprConv,55.33039333693088
20th < 2025,East < EastSouth,wind < onshore < highFLH,none,costOprConv,773.1061294626938
20th < 2030,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,60.124922617931865
20th < 2030,East < EastSouth,gasBoiler,none,costOprConv,1096.9326789387355
20th < 2030,East < EastSouth,heatpump < air,none,costOprConv,59.90203625385929
20th < 2030,East < EastSouth,heatpump < ground < individual,none,costOprConv,76.97697721470271
20th < 2030,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,East < EastSouth,heatpump < ground < network,none,costOprConv,50.11444196526619
20th < 2030,East < EastSouth,wind < onshore < highFLH,none,costOprConv,839.1256449105759
30th < 2035,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,51.86428641064612
30th < 2035,East < EastSouth,gasBoiler,none,costOprConv,692.5168537114724
30th < 2035,East < EastSouth,heatpump < air,none,costOprConv,51.67202267507768
30th < 2035,East < EastSouth,heatpump < ground < individual,none,costOprConv,66.4010167407422
30th < 2035,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,East < EastSouth,heatpump < ground < network,none,costOprConv,43.229157863748995
30th < 2035,East < EastSouth,wind < onshore < highFLH,none,costOprConv,843.8224706157554
30th < 2040,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,East < EastSouth,gasBoiler,none,costOprConv,278.63009906538986
30th < 2040,East < EastSouth,heatpump < air,none,costOprConv,44.57274066641972
30th < 2040,East < EastSouth,heatpump < ground < individual,none,costOprConv,57.27810033260414
30th < 2040,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,East < EastSouth,heatpump < ground < network,none,costOprConv,42.55985020906453
30th < 2040,East < EastSouth,wind < onshore < highFLH,none,costOprConv,732.4994136395724
10th < 2020,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,7.950476129328115
10th < 2020,West < WestNorth,gasBoiler,none,costOprConv,576.7074140362911
10th < 2020,West < WestNorth,heatpump < air,none,costOprConv,32.0080094964834
10th < 2020,West < WestNorth,heatpump < ground < individual,none,costOprConv,36.118998201369855
10th < 2020,West < WestNorth,wind < offshore,none,costOprConv,600.0
10th < 2020,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,West < WestNorth,heatpump < ground < network,none,costOprConv,6.553543689826963
10th < 2020,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1950.0
20th < 2025,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,7.20099118314977
20th < 2025,West < WestNorth,gasBoiler,none,costOprConv,400.5388233265363
20th < 2025,West < WestNorth,heatpump < air,none,costOprConv,28.99064036229355
20th < 2025,West < WestNorth,heatpump < ground < individual,none,costOprConv,32.714089491172
20th < 2025,West < WestNorth,wind < offshore,none,costOprConv,543.4384858979496
