timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; methanation,import,trdBuy,export
10th < 2020,10th < 2020 < d001,East,,,3095.8744936902503,
10th < 2020,10th < 2020 < d001,West,,,4158.04506196777,
10th < 2020,10th < 2020 < d002,East,,,2495.494763121436,
10th < 2020,10th < 2020 < d002,West,,,3416.599923975934,
10th < 2020,10th < 2020 < d003,East,,,2346.44863571494,
10th < 2020,10th < 2020 < d003,West,,,1915.9177699156794,
10th < 2020,10th < 2020 < d004,East,,,2729.284076431982,
10th < 2020,10th < 2020 < d004,West,,,3422.30726000768,
10th < 2020,10th < 2020 < d005,East,,,5014.372171655711,
10th < 2020,10th < 2020 < d005,West,,,4578.988582345961,
10th < 2020,10th < 2020 < d006,East,,,5668.501184142185,
10th < 2020,10th < 2020 < d006,West,,,4813.682240585789,
10th < 2020,10th < 2020 < d007,East,,,5335.817834405849,
10th < 2020,10th < 2020 < d007,West,,,4686.39060357967,
10th < 2020,10th < 2020 < d008,East,,,3167.424491489718,
10th < 2020,10th < 2020 < d008,West,,,2631.29392445273,
10th < 2020,10th < 2020 < d009,East,,,1711.3875633409723,
10th < 2020,10th < 2020 < d009,West,,,555.2139581578366,
10th < 2020,10th < 2020 < d010,East,,,230.9166358908224,
10th < 2020,10th < 2020 < d010,West,,,84.47774822726119,
10th < 2020,10th < 2020 < d011,East,,,1058.189433687844,
10th < 2020,10th < 2020 < d011,West,,,738.3408513604824,
10th < 2020,10th < 2020 < d012,East,,,1617.1272803388822,
10th < 2020,10th < 2020 < d012,West,,,1004.4158050550429,
10th < 2020,10th < 2020 < d013,East,,,1358.8184307303986,
10th < 2020,10th < 2020 < d013,West,,,1236.6806019039666,
10th < 2020,10th < 2020 < d014,East,,,2084.5212494740217,
10th < 2020,10th < 2020 < d014,West,,,1642.5949612264988,
10th < 2020,10th < 2020 < d015,East,,,1664.42284327949,
10th < 2020,10th < 2020 < d015,West,,,1050.355631667217,
10th < 2020,10th < 2020 < d016,East,,,3278.4648845699035,
10th < 2020,10th < 2020 < d016,West,,,3741.9725218173403,
10th < 2020,10th < 2020 < d017,East,,,3864.0665987292346,
10th < 2020,10th < 2020 < d017,West,,,4106.762193638845,
10th < 2020,10th < 2020 < d018,East,,,3758.2927886574653,
10th < 2020,10th < 2020 < d018,West,,,4185.716749824815,
10th < 2020,10th < 2020 < d019,East,,,5928.232594671709,
10th < 2020,10th < 2020 < d019,West,,,5101.190372950897,
10th < 2020,10th < 2020 < d020,East,,,6188.47784959085,
10th < 2020,10th < 2020 < d020,West,,,5301.119782306251,
10th < 2020,10th < 2020 < d021,East,,,6157.426549332594,
10th < 2020,10th < 2020 < d021,West,,,5221.556852088536,
10th < 2020,10th < 2020 < d022,East,,,6142.197244191339,
10th < 2020,10th < 2020 < d022,West,,,5380.160463008795,
10th < 2020,10th < 2020 < d023,East,,,6279.254105452302,
10th < 2020,10th < 2020 < d023,West,,,5449.412403133239,
10th < 2020,10th < 2020 < d024,East,,,5149.982104519529,
10th < 2020,10th < 2020 < d024,West,,,4682.39055634014,
10th < 2020,10th < 2020 < d025,East,,,4410.078277146243,
10th < 2020,10th < 2020 < d025,West,,,4750.069582924913,
10th < 2020,10th < 2020 < d026,East,,,3954.719473436582,
10th < 2020,10th < 2020 < d026,West,,,4268.155427468498,
10th < 2020,10th < 2020 < d027,East,,,3679.243723245575,
10th < 2020,10th < 2020 < d027,West,,,3966.7838538554615,
10th < 2020,10th < 2020 < d028,East,,,2744.63727028685,
10th < 2020,10th < 2020 < d028,West,,,2339.307669413205,
10th < 2020,10th < 2020 < d029,East,,,2592.761070904023,
10th < 2020,10th < 2020 < d029,West,,,1941.1126474730772,
10th < 2020,10th < 2020 < d030,East,,,3625.685169593663,
10th < 2020,10th < 2020 < d030,West,,,3245.44202672738,
10th < 2020,10th < 2020 < d031,East,,,3880.3426390805153,
10th < 2020,10th < 2020 < d031,West,,,3791.2493613611437,
10th < 2020,10th < 2020 < d032,East,,,3992.674818555559,
10th < 2020,10th < 2020 < d032,West,,,3216.7795295674564,
10th < 2020,10th < 2020 < d033,East,,,4924.008516446917,
10th < 2020,10th < 2020 < d033,West,,,5053.832693945082,
10th < 2020,10th < 2020 < d034,East,,,5975.69063943845,
10th < 2020,10th < 2020 < d034,West,,,5342.300295778422,
10th < 2020,10th < 2020 < d035,East,,,5047.640497799163,
10th < 2020,10th < 2020 < d035,West,,,4828.792870615267,
10th < 2020,10th < 2020 < d036,East,,,4365.456697064849,
10th < 2020,10th < 2020 < d036,West,,,4431.545623047024,
10th < 2020,10th < 2020 < d037,East,,,4182.569555708476,
10th < 2020,10th < 2020 < d037,West,,,3473.150748389004,
