timestep_superordinate_dispatch,region,technology,carrier,variable,value
10th < 2020,none,none,electricity,costExpExc,562.5796268839867
20th < 2025,none,none,electricity,costExpExc,509.5457010514454
20th < 2030,none,none,electricity,costExpExc,461.51124045867783
30th < 2035,none,none,electricity,costExpExc,408.05429983896744
30th < 2040,none,none,electricity,costExpExc,516.2017538895868
10th < 2020,East,methanation,none,costVarUse,0.0
20th < 2025,East,methanation,none,costVarUse,0.0
20th < 2030,East,methanation,none,costVarUse,0.0
30th < 2035,East,methanation,none,costVarUse,0.0
30th < 2040,East,methanation,none,costVarUse,6798.751949832654
10th < 2020,West,methanation,none,costVarUse,0.0
20th < 2025,West,methanation,none,costVarUse,0.0
20th < 2030,West,methanation,none,costVarUse,0.0
30th < 2035,West,methanation,none,costVarUse,0.0
30th < 2040,West,methanation,none,costVarUse,916.8143874214492
10th < 2020,East,none,coal,costTrdBuy,324.9481130200021
10th < 2020,East,none,gas < naturalGas < fossilGas,costTrdBuy,19684.199879275966
10th < 2020,East,none,gas < hydrogen,costTrdBuy,0.0
10th < 2020,West,none,coal,costTrdBuy,0.0
10th < 2020,West,none,gas < naturalGas < fossilGas,costTrdBuy,18318.871627088356
10th < 2020,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,East,none,coal,costTrdBuy,7.210110355272516
20th < 2025,East,none,gas < naturalGas < fossilGas,costTrdBuy,14408.376435418493
20th < 2025,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,West,none,coal,costTrdBuy,0.0
20th < 2025,West,none,gas < naturalGas < fossilGas,costTrdBuy,13169.644154652906
20th < 2025,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,East,none,coal,costTrdBuy,0.0
20th < 2030,East,none,gas < naturalGas < fossilGas,costTrdBuy,10472.531487767845
20th < 2030,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,West,none,coal,costTrdBuy,0.0
