timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; methanation,import,trdBuy,export
10th < 2020,10th < 2020 < d001,East,,,3093.797225400448,
10th < 2020,10th < 2020 < d001,West,,,4237.151090787478,
10th < 2020,10th < 2020 < d002,East,,,2543.2255984690764,
10th < 2020,10th < 2020 < d002,West,,,3403.505093451029,
10th < 2020,10th < 2020 < d003,East,,,2271.820028306833,
10th < 2020,10th < 2020 < d003,West,,,2022.3279817329224,
10th < 2020,10th < 2020 < d004,East,,,2863.6947087636368,
10th < 2020,10th < 2020 < d004,West,,,3320.7958006462914,
10th < 2020,10th < 2020 < d005,East,,,4981.642579419988,
10th < 2020,10th < 2020 < d005,West,,,4619.622927148887,
10th < 2020,10th < 2020 < d006,East,,,5678.24356132666,
10th < 2020,10th < 2020 < d006,West,,,4857.957529529732,
10th < 2020,10th < 2020 < d007,East,,,5301.697201423368,
10th < 2020,10th < 2020 < d007,West,,,4756.175965048357,
10th < 2020,10th < 2020 < d008,East,,,3161.110627501675,
10th < 2020,10th < 2020 < d008,West,,,2664.916544607748,
10th < 2020,10th < 2020 < d009,East,,,1654.6099741915912,
10th < 2020,10th < 2020 < d009,West,,,651.9934872577643,
10th < 2020,10th < 2020 < d010,East,,,242.08403730217645,
10th < 2020,10th < 2020 < d010,West,,,85.85226772787837,
10th < 2020,10th < 2020 < d011,East,,,1042.9675709380508,
10th < 2020,10th < 2020 < d011,West,,,787.9221899691253,
10th < 2020,10th < 2020 < d012,East,,,1555.8990346013743,
10th < 2020,10th < 2020 < d012,West,,,1108.495688954244,
10th < 2020,10th < 2020 < d013,East,,,1199.9477899317621,
10th < 2020,10th < 2020 < d013,West,,,1384.93438832581,
10th < 2020,10th < 2020 < d014,East,,,1995.8432245434747,
10th < 2020,10th < 2020 < d014,West,,,1738.9050220249098,
10th < 2020,10th < 2020 < d015,East,,,1675.8484217001674,
10th < 2020,10th < 2020 < d015,West,,,1089.636655349354,
10th < 2020,10th < 2020 < d016,East,,,3309.309497254494,
10th < 2020,10th < 2020 < d016,West,,,3737.022167134772,
10th < 2020,10th < 2020 < d017,East,,,3728.9531197508354,
10th < 2020,10th < 2020 < d017,West,,,4169.180267401481,
10th < 2020,10th < 2020 < d018,East,,,3536.6651333341765,
10th < 2020,10th < 2020 < d018,West,,,4259.088928583399,
10th < 2020,10th < 2020 < d019,East,,,5994.964509581613,
10th < 2020,10th < 2020 < d019,West,,,5091.806573915918,
10th < 2020,10th < 2020 < d020,East,,,6249.185046698337,
10th < 2020,10th < 2020 < d020,West,,,5362.710994233107,
10th < 2020,10th < 2020 < d021,East,,,6245.590810194372,
10th < 2020,10th < 2020 < d021,West,,,5238.791713268969,
10th < 2020,10th < 2020 < d022,East,,,6121.135237806599,
10th < 2020,10th < 2020 < d022,West,,,5433.484743280927,
10th < 2020,10th < 2020 < d023,East,,,6362.015353679937,
10th < 2020,10th < 2020 < d023,West,,,5488.266010444723,
10th < 2020,10th < 2020 < d024,East,,,5088.5810947801065,
10th < 2020,10th < 2020 < d024,West,,,4772.456234964974,
10th < 2020,10th < 2020 < d025,East,,,4420.696731564836,
10th < 2020,10th < 2020 < d025,West,,,4799.1258205209415,
10th < 2020,10th < 2020 < d026,East,,,3904.285560294858,
10th < 2020,10th < 2020 < d026,West,,,4347.13211427732,
10th < 2020,10th < 2020 < d027,East,,,3473.2439085573956,
10th < 2020,10th < 2020 < d027,West,,,4213.205144479969,
10th < 2020,10th < 2020 < d028,East,,,2731.7339383715803,
10th < 2020,10th < 2020 < d028,West,,,2331.090766964185,
10th < 2020,10th < 2020 < d029,East,,,2563.047031213213,
10th < 2020,10th < 2020 < d029,West,,,1955.490843062056,
10th < 2020,10th < 2020 < d030,East,,,3882.3371006280586,
10th < 2020,10th < 2020 < d030,West,,,3024.6924944202483,
10th < 2020,10th < 2020 < d031,East,,,3549.7982955025695,
10th < 2020,10th < 2020 < d031,West,,,3862.094421338055,
10th < 2020,10th < 2020 < d032,East,,,3985.203756298297,
10th < 2020,10th < 2020 < d032,West,,,3316.1764133380775,
10th < 2020,10th < 2020 < d033,East,,,4976.681963197339,
10th < 2020,10th < 2020 < d033,West,,,5075.31109204912,
