timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,gen; methanation,import,trdBuy,export
10th < 2020,10th < 2020 < d034,East,,,6007.446643297197,
10th < 2020,10th < 2020 < d034,West,,,5421.857623665895,
10th < 2020,10th < 2020 < d035,East,,,5088.504394991202,
10th < 2020,10th < 2020 < d035,West,,,4878.55663537875,
10th < 2020,10th < 2020 < d036,East,,,4361.418431667966,
10th < 2020,10th < 2020 < d036,West,,,4521.09665788642,
10th < 2020,10th < 2020 < d037,East,,,4116.601575649866,
10th < 2020,10th < 2020 < d037,West,,,3640.698445272814,
10th < 2020,10th < 2020 < d038,East,,,4393.380008067041,
10th < 2020,10th < 2020 < d038,West,,,4217.555693836765,
10th < 2020,10th < 2020 < d039,East,,,3688.5637324346285,
10th < 2020,10th < 2020 < d039,West,,,3821.7956743357927,
10th < 2020,10th < 2020 < d040,East,,,4925.385285692506,
10th < 2020,10th < 2020 < d040,West,,,5095.281392377808,
10th < 2020,10th < 2020 < d041,East,,,4395.721280147514,
10th < 2020,10th < 2020 < d041,West,,,4788.209426283672,
10th < 2020,10th < 2020 < d042,East,,,4975.152367938668,
10th < 2020,10th < 2020 < d042,West,,,4711.23425465651,
10th < 2020,10th < 2020 < d043,East,,,6147.761727212846,
10th < 2020,10th < 2020 < d043,West,,,5137.218547262441,
10th < 2020,10th < 2020 < d044,East,,,4922.978313709828,
10th < 2020,10th < 2020 < d044,West,,,3307.107396700666,
10th < 2020,10th < 2020 < d045,East,,,3548.60853846419,
10th < 2020,10th < 2020 < d045,West,,,2828.355056221852,
10th < 2020,10th < 2020 < d046,East,,,4768.747409620712,
10th < 2020,10th < 2020 < d046,West,,,4051.5823714814223,
10th < 2020,10th < 2020 < d047,East,,,5641.791171684608,
10th < 2020,10th < 2020 < d047,West,,,4461.706506593609,
10th < 2020,10th < 2020 < d048,East,,,5575.725901948916,
10th < 2020,10th < 2020 < d048,West,,,4294.924956336427,
10th < 2020,10th < 2020 < d049,East,,,5425.632367597636,
10th < 2020,10th < 2020 < d049,West,,,4639.949473181715,
10th < 2020,10th < 2020 < d050,East,,,5112.0478273336585,
10th < 2020,10th < 2020 < d050,West,,,4016.9873284226555,
10th < 2020,10th < 2020 < d051,East,,,3432.5395119752666,
10th < 2020,10th < 2020 < d051,West,,,2368.98811342255,
10th < 2020,10th < 2020 < d052,East,,,2648.40606583982,
10th < 2020,10th < 2020 < d052,West,,,3643.7867215758833,
10th < 2020,10th < 2020 < d053,East,,,2811.2356331890655,
10th < 2020,10th < 2020 < d053,West,,,3306.0669539590417,
10th < 2020,10th < 2020 < d054,East,,,3231.8471372822064,
10th < 2020,10th < 2020 < d054,West,,,2184.598914720291,
10th < 2020,10th < 2020 < d055,East,,,2874.2123285918706,
10th < 2020,10th < 2020 < d055,West,,,2214.755217538395,
10th < 2020,10th < 2020 < d056,East,,,3812.12680662158,
10th < 2020,10th < 2020 < d056,West,,,3567.056137404774,
10th < 2020,10th < 2020 < d057,East,,,3856.1900055916763,
10th < 2020,10th < 2020 < d057,West,,,3533.8737434954073,
10th < 2020,10th < 2020 < d058,East,,,3788.428086347037,
10th < 2020,10th < 2020 < d058,West,,,3090.0126679601976,
10th < 2020,10th < 2020 < d059,East,,,3725.0426383183985,
10th < 2020,10th < 2020 < d059,West,,,2567.907669655394,
10th < 2020,10th < 2020 < d060,East,,,2070.4938314785895,
10th < 2020,10th < 2020 < d060,West,,,912.9852669823416,
10th < 2020,10th < 2020 < d061,East,,,2447.0834301894397,
10th < 2020,10th < 2020 < d061,West,,,1230.6547313891901,
10th < 2020,10th < 2020 < d062,East,,,2757.811421481001,
10th < 2020,10th < 2020 < d062,West,,,2645.863017539353,
10th < 2020,10th < 2020 < d063,East,,,3167.333027811627,
10th < 2020,10th < 2020 < d063,West,,,3204.0992607734934,
10th < 2020,10th < 2020 < d064,East,,,3783.984502633772,
10th < 2020,10th < 2020 < d064,West,,,3436.299969639515,
10th < 2020,10th < 2020 < d065,East,,,4164.325025031377,
10th < 2020,10th < 2020 < d065,West,,,3664.8363052875543,
10th < 2020,10th < 2020 < d066,East,,,2866.1446829176325,
10th < 2020,10th < 2020 < d066,West,,,2800.3963673307867,
10th < 2020,10th < 2020 < d067,East,,,2103.518587364685,
10th < 2020,10th < 2020 < d067,West,,,2381.7376636000067,
10th < 2020,10th < 2020 < d068,East,,,3332.1944851490903,
10th < 2020,10th < 2020 < d068,West,,,2766.2339230486696,
10th < 2020,10th < 2020 < d069,East,,,2619.417067044507,
10th < 2020,10th < 2020 < d069,West,,,2805.9811436755763,
10th < 2020,10th < 2020 < d070,East,,,2116.1310636062176,
10th < 2020,10th < 2020 < d070,West,,,2449.2167400627227,
10th < 2020,10th < 2020 < d071,East,,,2724.6116144563025,
10th < 2020,10th < 2020 < d071,West,,,2499.9393488303426,
10th < 2020,10th < 2020 < d072,East,,,3730.9416808186334,
10th < 2020,10th < 2020 < d072,West,,,3054.2773167545743,
10th < 2020,10th < 2020 < d073,East,,,3775.73023345078,
10th < 2020,10th < 2020 < d073,West,,,3042.8933048290223,
10th < 2020,10th < 2020 < d074,East,,,2212.8622622134712,
10th < 2020,10th < 2020 < d074,West,,,3361.8493083519743,
10th < 2020,10th < 2020 < d075,East,,,1989.8508720330378,
10th < 2020,10th < 2020 < d075,West,,,3354.660461148597,
10th < 2020,10th < 2020 < d076,East,,,2024.5745713957776,
10th < 2020,10th < 2020 < d076,West,,,2842.771604018384,
10th < 2020,10th < 2020 < d077,East,,,2228.750906504043,
10th < 2020,10th < 2020 < d077,West,,,1899.7708288822646,
10th < 2020,10th < 2020 < d078,East,,,2945.148520965574,
10th < 2020,10th < 2020 < d078,West,,,2110.095524280695,
10th < 2020,10th < 2020 < d079,East,,,3754.823385005051,
10th < 2020,10th < 2020 < d079,West,,,2873.189297083304,
10th < 2020,10th < 2020 < d080,East,,,2511.9523639460726,
10th < 2020,10th < 2020 < d080,West,,,2710.022758678087,
10th < 2020,10th < 2020 < d081,East,,,2639.1758003170426,
10th < 2020,10th < 2020 < d081,West,,,1608.2831613711478,
10th < 2020,10th < 2020 < d082,East,,,4211.217237484768,
10th < 2020,10th < 2020 < d082,West,,,2911.2096524782405,
10th < 2020,10th < 2020 < d083,East,,,3839.3544700008106,
10th < 2020,10th < 2020 < d083,West,,,3343.204119124235,
10th < 2020,10th < 2020 < d084,East,,,2813.3082741331773,
10th < 2020,10th < 2020 < d084,West,,,3136.527767823055,
10th < 2020,10th < 2020 < d085,East,,,2961.6617049258407,
10th < 2020,10th < 2020 < d085,West,,,2634.137172445977,
10th < 2020,10th < 2020 < d086,East,,,2909.7491003514397,
10th < 2020,10th < 2020 < d086,West,,,2536.616471779277,
10th < 2020,10th < 2020 < d087,East,,,2273.519345118584,
10th < 2020,10th < 2020 < d087,West,,,1236.2675587181257,
10th < 2020,10th < 2020 < d088,East,,,391.8150860258598,
10th < 2020,10th < 2020 < d089,East,,,934.7357553426253,
10th < 2020,10th < 2020 < d089,West,,,278.5609996934678,
10th < 2020,10th < 2020 < d090,East,,,1004.7314714869484,
10th < 2020,10th < 2020 < d090,West,,,1.7261333377850325,
10th < 2020,10th < 2020 < d091,East,,,1422.455314873249,
10th < 2020,10th < 2020 < d091,West,,,364.8725260639623,
10th < 2020,10th < 2020 < d092,East,,,2277.6297207672274,
10th < 2020,10th < 2020 < d092,West,,,1312.5828984438594,
10th < 2020,10th < 2020 < d093,East,,,2345.87194415203,
10th < 2020,10th < 2020 < d093,West,,,2775.6343425761243,
10th < 2020,10th < 2020 < d094,East,,,2157.9818115599073,
10th < 2020,10th < 2020 < d094,West,,,1879.8634433409175,
10th < 2020,10th < 2020 < d095,East,,,2043.859857130495,
10th < 2020,10th < 2020 < d095,West,,,1463.8933257306096,
10th < 2020,10th < 2020 < d096,East,,,2814.379485994735,
10th < 2020,10th < 2020 < d096,West,,,2249.6329343740986,
10th < 2020,10th < 2020 < d097,East,,,3480.3389053866613,
10th < 2020,10th < 2020 < d097,West,,,2338.494098082142,
10th < 2020,10th < 2020 < d098,East,,,3176.702576151795,
10th < 2020,10th < 2020 < d098,West,,,2420.541622316332,
10th < 2020,10th < 2020 < d099,East,,,1941.362714457967,
10th < 2020,10th < 2020 < d099,West,,,1832.2330067949856,
10th < 2020,10th < 2020 < d100,East,,,1430.8146120686165,
10th < 2020,10th < 2020 < d100,West,,,1363.4776319017883,
10th < 2020,10th < 2020 < d101,East,,,189.57389848553623,
10th < 2020,10th < 2020 < d101,West,,,884.3037611311393,
10th < 2020,10th < 2020 < d102,East,,,183.27429073353665,
10th < 2020,10th < 2020 < d102,West,,,1320.5992834635183,
10th < 2020,10th < 2020 < d103,East,,,448.30889382569785,
10th < 2020,10th < 2020 < d103,West,,,1773.9184746134051,
10th < 2020,10th < 2020 < d104,East,,,801.1538897225205,
10th < 2020,10th < 2020 < d104,West,,,1195.955081186837,
10th < 2020,10th < 2020 < d105,East,,,937.6373965045111,
10th < 2020,10th < 2020 < d105,West,,,1379.4439650189022,
10th < 2020,10th < 2020 < d106,East,,,1005.7683329603971,
10th < 2020,10th < 2020 < d106,West,,,1494.1850401502836,
10th < 2020,10th < 2020 < d107,East,,,1070.5548205647192,
10th < 2020,10th < 2020 < d107,West,,,1500.336016153111,
10th < 2020,10th < 2020 < d108,East,,,562.7103235829682,
10th < 2020,10th < 2020 < d108,West,,,114.48485833853665,
10th < 2020,10th < 2020 < d109,East,,,1048.7905514625047,
10th < 2020,10th < 2020 < d109,West,,,439.25949062035164,
10th < 2020,10th < 2020 < d110,East,,,1812.6972585379353,
10th < 2020,10th < 2020 < d110,West,,,1535.716813489108,
10th < 2020,10th < 2020 < d111,East,,,1623.5226796935879,
10th < 2020,10th < 2020 < d111,West,,,1150.6074857068822,
10th < 2020,10th < 2020 < d112,East,,,1818.2467591326415,
10th < 2020,10th < 2020 < d112,West,,,691.3364662031711,
10th < 2020,10th < 2020 < d113,East,,,2110.252667143932,
10th < 2020,10th < 2020 < d113,West,,,1436.0062442510791,
10th < 2020,10th < 2020 < d114,East,,,2239.474345657357,
10th < 2020,10th < 2020 < d114,West,,,1890.288452207689,
10th < 2020,10th < 2020 < d115,East,,,1404.588586317451,
10th < 2020,10th < 2020 < d115,West,,,1741.93320474388,
10th < 2020,10th < 2020 < d116,East,,,760.5547479306101,
10th < 2020,10th < 2020 < d116,West,,,1814.239634924966,
10th < 2020,10th < 2020 < d117,East,,,1511.347261724179,
10th < 2020,10th < 2020 < d117,West,,,1230.8853948568574,
10th < 2020,10th < 2020 < d118,East,,,2040.1399169058814,
10th < 2020,10th < 2020 < d118,West,,,1695.5416425839394,
10th < 2020,10th < 2020 < d119,East,,,1744.1224006385291,
10th < 2020,10th < 2020 < d119,West,,,1536.7020992673654,
10th < 2020,10th < 2020 < d120,East,,,1056.5652808402606,
10th < 2020,10th < 2020 < d120,West,,,1918.3358621638681,
10th < 2020,10th < 2020 < d121,East,,,864.7602594264504,
10th < 2020,10th < 2020 < d121,West,,,1808.9470995618187,
10th < 2020,10th < 2020 < d122,East,,,1586.116345661224,
10th < 2020,10th < 2020 < d122,West,,,1879.1312243486966,
10th < 2020,10th < 2020 < d123,East,,,782.7803843884861,
10th < 2020,10th < 2020 < d123,West,,,629.7672803919463,
10th < 2020,10th < 2020 < d124,East,,,935.1940388711633,
10th < 2020,10th < 2020 < d124,West,,,1039.4886443489115,
10th < 2020,10th < 2020 < d125,East,,,759.1279371391734,
10th < 2020,10th < 2020 < d125,West,,,108.73298940537963,
10th < 2020,10th < 2020 < d126,East,,,1145.3879199392966,
10th < 2020,10th < 2020 < d126,West,,,321.5003248816784,
10th < 2020,10th < 2020 < d127,East,,,1140.1579805848362,
10th < 2020,10th < 2020 < d127,West,,,1550.5457102972296,
10th < 2020,10th < 2020 < d128,East,,,1031.8618691146344,
10th < 2020,10th < 2020 < d128,West,,,1321.6785364555906,
10th < 2020,10th < 2020 < d129,East,,,151.92551107423876,
10th < 2020,10th < 2020 < d129,West,,,140.5020546493901,
10th < 2020,10th < 2020 < d130,East,,,207.88363409569547,
10th < 2020,10th < 2020 < d130,West,,,436.651480779766,
10th < 2020,10th < 2020 < d131,East,,,532.4237966728257,
10th < 2020,10th < 2020 < d131,West,,,1081.3906601373935,
10th < 2020,10th < 2020 < d132,East,,,512.8564098813077,
10th < 2020,10th < 2020 < d132,West,,,1006.095526869806,
10th < 2020,10th < 2020 < d133,East,,,567.701763248759,
10th < 2020,10th < 2020 < d133,West,,,1048.809574965442,
10th < 2020,10th < 2020 < d134,East,,,368.8593612659664,
10th < 2020,10th < 2020 < d134,West,,,927.2191446026453,
10th < 2020,10th < 2020 < d135,East,,,1200.7186371467706,
10th < 2020,10th < 2020 < d135,West,,,852.912812130119,
10th < 2020,10th < 2020 < d136,East,,,1257.8608740090103,
10th < 2020,10th < 2020 < d136,West,,,1040.2538127934852,
10th < 2020,10th < 2020 < d137,East,,,569.8407879099393,
10th < 2020,10th < 2020 < d137,West,,,1264.2633538888826,
10th < 2020,10th < 2020 < d138,East,,,1170.538041036961,
10th < 2020,10th < 2020 < d138,West,,,1142.6409011219491,
10th < 2020,10th < 2020 < d139,East,,,930.030878929775,
10th < 2020,10th < 2020 < d139,West,,,851.66946423984,
10th < 2020,10th < 2020 < d140,East,,,1287.021826084397,
10th < 2020,10th < 2020 < d140,West,,,1563.1432071636364,
10th < 2020,10th < 2020 < d141,East,,,1589.5952064431085,
10th < 2020,10th < 2020 < d141,West,,,1393.7889036027389,
10th < 2020,10th < 2020 < d142,East,,,1718.9022834006344,
10th < 2020,10th < 2020 < d142,West,,,930.5352451498663,
10th < 2020,10th < 2020 < d143,East,,,521.6920040811598,
10th < 2020,10th < 2020 < d143,West,,,974.0370326625875,
10th < 2020,10th < 2020 < d144,East,,,424.7761244547674,
10th < 2020,10th < 2020 < d144,West,,,1162.6718558800796,
10th < 2020,10th < 2020 < d145,East,,,695.5195940648885,
10th < 2020,10th < 2020 < d145,West,,,888.2513772763675,
10th < 2020,10th < 2020 < d146,East,,,1475.0185115947645,
10th < 2020,10th < 2020 < d146,West,,,1015.4214992497737,
10th < 2020,10th < 2020 < d147,East,,,1572.20271250203,
10th < 2020,10th < 2020 < d147,West,,,1558.2870880798694,
10th < 2020,10th < 2020 < d148,East,,,981.2878333286276,
10th < 2020,10th < 2020 < d148,West,,,1295.6347354085108,
10th < 2020,10th < 2020 < d149,East,,,1382.2898483634465,
10th < 2020,10th < 2020 < d149,West,,,1099.8115173002727,
10th < 2020,10th < 2020 < d150,East,,,493.29968117508446,
10th < 2020,10th < 2020 < d150,West,,,953.7855004731639,
10th < 2020,10th < 2020 < d151,East,,,263.0182011940219,
10th < 2020,10th < 2020 < d151,West,,,215.19783308783792,
10th < 2020,10th < 2020 < d152,East,,,1108.948341751469,
10th < 2020,10th < 2020 < d152,West,,,933.2636773669024,
10th < 2020,10th < 2020 < d153,East,,,284.2756670589306,
10th < 2020,10th < 2020 < d153,West,,,105.68367003929951,
10th < 2020,10th < 2020 < d154,East,,,310.779867483163,
10th < 2020,10th < 2020 < d154,West,,,935.4464591430591,
10th < 2020,10th < 2020 < d155,East,,,665.5154730024863,
10th < 2020,10th < 2020 < d155,West,,,1448.9783484774764,
10th < 2020,10th < 2020 < d156,East,,,770.0654636486727,
10th < 2020,10th < 2020 < d156,West,,,1175.0657509357939,
10th < 2020,10th < 2020 < d157,East,,,422.51292158431727,
10th < 2020,10th < 2020 < d157,West,,,801.5037953503935,
10th < 2020,10th < 2020 < d158,East,,,354.5767558663059,
10th < 2020,10th < 2020 < d158,West,,,328.6043683130382,
10th < 2020,10th < 2020 < d159,East,,,278.6691837462157,
10th < 2020,10th < 2020 < d159,West,,,57.0465955664687,
10th < 2020,10th < 2020 < d160,East,,,952.2589651300098,
10th < 2020,10th < 2020 < d160,West,,,120.86023747295265,
10th < 2020,10th < 2020 < d161,East,,,1632.7241601519058,
10th < 2020,10th < 2020 < d161,West,,,552.900581529508,
10th < 2020,10th < 2020 < d162,East,,,1104.0106604599114,
10th < 2020,10th < 2020 < d162,West,,,1205.1905102073642,
10th < 2020,10th < 2020 < d163,East,,,665.6726708165954,
10th < 2020,10th < 2020 < d163,West,,,1143.2451877875262,
10th < 2020,10th < 2020 < d164,East,,,200.94540722624433,
10th < 2020,10th < 2020 < d164,West,,,639.3941835689202,
10th < 2020,10th < 2020 < d165,East,,,562.5016634454747,
10th < 2020,10th < 2020 < d165,West,,,993.8391753467849,
10th < 2020,10th < 2020 < d166,East,,,614.8293380330233,
10th < 2020,10th < 2020 < d166,West,,,1051.2975941041077,
10th < 2020,10th < 2020 < d167,East,,,1413.4898042329874,
10th < 2020,10th < 2020 < d167,West,,,992.2981024234224,
10th < 2020,10th < 2020 < d168,East,,,1144.0338538335538,
10th < 2020,10th < 2020 < d168,West,,,919.8149454993068,
10th < 2020,10th < 2020 < d169,East,,,1273.5981447611741,
10th < 2020,10th < 2020 < d169,West,,,1068.0014307609458,
10th < 2020,10th < 2020 < d170,East,,,1142.0789310915604,
10th < 2020,10th < 2020 < d170,West,,,1186.3182618337119,
10th < 2020,10th < 2020 < d171,East,,,859.7171547794051,
10th < 2020,10th < 2020 < d171,West,,,1102.3294260067228,
10th < 2020,10th < 2020 < d172,East,,,569.4972524727098,
10th < 2020,10th < 2020 < d172,West,,,794.8588463532099,
10th < 2020,10th < 2020 < d173,East,,,353.73408893624986,
10th < 2020,10th < 2020 < d173,West,,,589.6419741583136,
10th < 2020,10th < 2020 < d174,East,,,293.66534849780965,
10th < 2020,10th < 2020 < d174,West,,,738.0573634539243,
10th < 2020,10th < 2020 < d175,East,,,1074.9634357509092,
10th < 2020,10th < 2020 < d175,West,,,1453.8315246419186,
10th < 2020,10th < 2020 < d176,East,,,1816.4137304083254,
10th < 2020,10th < 2020 < d176,West,,,1536.3169324214139,
10th < 2020,10th < 2020 < d177,East,,,1742.9068645723223,
10th < 2020,10th < 2020 < d177,West,,,1124.4122895857843,
10th < 2020,10th < 2020 < d178,East,,,699.3845184327334,
10th < 2020,10th < 2020 < d178,West,,,672.383746665228,
10th < 2020,10th < 2020 < d179,East,,,421.70189938927217,
10th < 2020,10th < 2020 < d179,West,,,886.1489552562999,
10th < 2020,10th < 2020 < d180,East,,,1348.7422688795823,
10th < 2020,10th < 2020 < d180,West,,,1173.0811897051412,
10th < 2020,10th < 2020 < d181,East,,,1593.4712072511077,
10th < 2020,10th < 2020 < d181,West,,,1148.5127467981329,
10th < 2020,10th < 2020 < d182,East,,,1340.3562781748706,
10th < 2020,10th < 2020 < d182,West,,,994.1995754518272,
10th < 2020,10th < 2020 < d183,East,,,1287.0366030243176,
10th < 2020,10th < 2020 < d183,West,,,1221.7653488502658,
10th < 2020,10th < 2020 < d184,East,,,1013.8512657372385,
10th < 2020,10th < 2020 < d184,West,,,1073.9078992884677,
10th < 2020,10th < 2020 < d185,East,,,875.8127534394368,
10th < 2020,10th < 2020 < d185,West,,,1101.2068492704586,
10th < 2020,10th < 2020 < d186,East,,,1104.4576168591275,
10th < 2020,10th < 2020 < d186,West,,,1098.0577274009215,
10th < 2020,10th < 2020 < d187,East,,,1388.924399527231,
10th < 2020,10th < 2020 < d187,West,,,1711.7402116482497,
10th < 2020,10th < 2020 < d188,East,,,1060.323550747099,
10th < 2020,10th < 2020 < d188,West,,,1152.1642081126972,
10th < 2020,10th < 2020 < d189,East,,,161.05278523594092,
10th < 2020,10th < 2020 < d189,West,,,343.4801000425271,
10th < 2020,10th < 2020 < d190,East,,,311.42627938981485,
10th < 2020,10th < 2020 < d190,West,,,773.6845619401693,
10th < 2020,10th < 2020 < d191,East,,,433.4806765317523,
10th < 2020,10th < 2020 < d191,West,,,747.6809060697267,
10th < 2020,10th < 2020 < d192,East,,,527.8010910855511,
10th < 2020,10th < 2020 < d192,West,,,631.8169219770721,
10th < 2020,10th < 2020 < d193,East,,,479.63584130355366,
10th < 2020,10th < 2020 < d193,West,,,959.3209263231543,
10th < 2020,10th < 2020 < d194,East,,,1385.164590055235,
10th < 2020,10th < 2020 < d194,West,,,951.0782599570754,
10th < 2020,10th < 2020 < d195,East,,,1561.4058097618217,
10th < 2020,10th < 2020 < d195,West,,,840.4862167233438,
10th < 2020,10th < 2020 < d196,East,,,1847.4022407185894,
10th < 2020,10th < 2020 < d196,West,,,1732.1434874177305,
10th < 2020,10th < 2020 < d197,East,,,1887.9173511492293,
10th < 2020,10th < 2020 < d197,West,,,1445.6219817411957,
10th < 2020,10th < 2020 < d198,East,,,1277.111343031193,
10th < 2020,10th < 2020 < d198,West,,,1220.590319952028,
10th < 2020,10th < 2020 < d199,East,,,550.6488755189316,
10th < 2020,10th < 2020 < d199,West,,,1540.5736760234558,
10th < 2020,10th < 2020 < d200,East,,,323.2387326247286,
10th < 2020,10th < 2020 < d200,West,,,725.0219032921344,
10th < 2020,10th < 2020 < d201,East,,,839.1147753765785,
10th < 2020,10th < 2020 < d201,West,,,1173.5208125248919,
10th < 2020,10th < 2020 < d202,East,,,1188.3384301838746,
10th < 2020,10th < 2020 < d202,West,,,1745.4376157138581,
10th < 2020,10th < 2020 < d203,East,,,1732.5004579844426,
10th < 2020,10th < 2020 < d203,West,,,1783.7383967284204,
10th < 2020,10th < 2020 < d204,East,,,1711.7646550334082,
10th < 2020,10th < 2020 < d204,West,,,1589.0898716382392,
10th < 2020,10th < 2020 < d205,East,,,1628.8704113255649,
10th < 2020,10th < 2020 < d205,West,,,1191.413126119439,
10th < 2020,10th < 2020 < d206,East,,,135.37358868320203,
10th < 2020,10th < 2020 < d206,West,,,297.7899668425994,
10th < 2020,10th < 2020 < d207,East,,,684.4295655561825,
10th < 2020,10th < 2020 < d207,West,,,518.4985860828689,
10th < 2020,10th < 2020 < d208,East,,,722.727568022999,
10th < 2020,10th < 2020 < d208,West,,,6.111247086079306,
10th < 2020,10th < 2020 < d209,East,,,82.72764592814545,
10th < 2020,10th < 2020 < d209,West,,,353.89650958581734,
10th < 2020,10th < 2020 < d210,East,,,235.73271854933407,
10th < 2020,10th < 2020 < d210,West,,,1021.2601806236714,
10th < 2020,10th < 2020 < d211,East,,,207.16611350082815,
10th < 2020,10th < 2020 < d211,West,,,788.3753282498678,
10th < 2020,10th < 2020 < d212,East,,,1231.3705496034934,
10th < 2020,10th < 2020 < d212,West,,,1432.5122571708685,
10th < 2020,10th < 2020 < d213,East,,,754.6175508256302,
10th < 2020,10th < 2020 < d213,West,,,1288.582206186127,
10th < 2020,10th < 2020 < d214,East,,,776.5724696466048,
10th < 2020,10th < 2020 < d214,West,,,909.6783048629143,
10th < 2020,10th < 2020 < d215,East,,,1039.6576082109393,
10th < 2020,10th < 2020 < d215,West,,,885.5078119518118,
10th < 2020,10th < 2020 < d216,East,,,1256.362615101061,
10th < 2020,10th < 2020 < d216,West,,,1201.9619050947938,
10th < 2020,10th < 2020 < d217,East,,,891.567436402439,
10th < 2020,10th < 2020 < d217,West,,,1214.7947539134261,
10th < 2020,10th < 2020 < d218,East,,,1499.4014281011382,
10th < 2020,10th < 2020 < d218,West,,,1330.1125881697117,
10th < 2020,10th < 2020 < d219,East,,,1398.263547408329,
10th < 2020,10th < 2020 < d219,West,,,1289.2442521460157,
10th < 2020,10th < 2020 < d220,East,,,1138.5635128984406,
10th < 2020,10th < 2020 < d220,West,,,1449.9269172754975,
10th < 2020,10th < 2020 < d221,East,,,565.068395228035,
10th < 2020,10th < 2020 < d221,West,,,1202.5412053606171,
10th < 2020,10th < 2020 < d222,East,,,1488.5055166941897,
