timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,stExtOut; gasStorage,gen; electrolysis,use; methanation,use; gasPlant < ocgt < hydrogenFueled,stExtIn; gasStorage
30th < 2035,30th < 2035 < d001,East,134.89079786769565,4.251557816751596,,-139.14235568444724,
30th < 2035,30th < 2035 < d001,West,208.11367177082818,,,-208.11367177082818,
30th < 2035,30th < 2035 < d002,East,,143.4866007240116,,-10.4756797190147,-133.0109210049969
30th < 2035,30th < 2035 < d002,West,72.6458139669901,1.0291855679956996,,-73.67499953498582,
30th < 2035,30th < 2035 < d003,East,,122.75298192613712,,-32.09616447660425,-90.65681744953288
30th < 2035,30th < 2035 < d003,West,,99.65001924661169,,-99.65001924661169,
30th < 2035,30th < 2035 < d004,East,192.54471286364986,,,-192.5447128636499,
30th < 2035,30th < 2035 < d004,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d005,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d005,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d006,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d006,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d007,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d007,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d008,East,149.3217309682495,4.685466299884755,,-154.0071972681343,
30th < 2035,30th < 2035 < d008,West,184.2868757688633,0.013915817985685022,,-184.30079158684902,
30th < 2035,30th < 2035 < d009,East,,384.1828357289447,,,-384.1828357289447
30th < 2035,30th < 2035 < d009,West,,341.3137529774448,,,-341.3137529774447
30th < 2035,30th < 2035 < d010,East,,387.10248771905526,,,-387.1024877190552
30th < 2035,30th < 2035 < d010,West,,523.1218464537628,,,-523.1218464537628
30th < 2035,30th < 2035 < d011,East,,387.10248771905526,,,-387.1024877190552
30th < 2035,30th < 2035 < d011,West,,286.3474183407784,,,-286.34741834077846
30th < 2035,30th < 2035 < d012,East,,382.7536670573862,,,-382.75366705738617
30th < 2035,30th < 2035 < d012,West,,222.5480594699354,,,-222.5480594699354
30th < 2035,30th < 2035 < d013,East,,261.08272042548293,,,-261.08272042548293
30th < 2035,30th < 2035 < d013,West,,139.38563710320156,,-26.06456028799037,-113.3210768152112
30th < 2035,30th < 2035 < d014,East,,58.679752318349756,,-48.86977535077803,-9.80997696757173
30th < 2035,30th < 2035 < d014,West,,61.3626257019442,,-61.3626257019442,
30th < 2035,30th < 2035 < d015,East,,268.5030438286562,,-36.931227123355555,-231.57181670530065
30th < 2035,30th < 2035 < d015,West,,197.0776224288659,,-62.85923370862075,-134.21838872024514
30th < 2035,30th < 2035 < d016,East,183.6856723211337,,,-183.6856723211337,
30th < 2035,30th < 2035 < d016,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d017,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d017,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d018,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d018,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d019,East,192.84332576762696,,,-192.843325767627,
30th < 2035,30th < 2035 < d019,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d020,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d020,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d021,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d021,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d022,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d022,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d023,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d023,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d024,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d024,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d025,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d025,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d026,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d026,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d027,East,143.23240475456362,5.6090423495841595,,-148.84144710414776,
30th < 2035,30th < 2035 < d027,West,221.02499860495743,,,-221.02499860495743,
30th < 2035,30th < 2035 < d028,East,,209.68051418115493,,-80.35138573651125,-129.3291284446437
30th < 2035,30th < 2035 < d028,West,,204.4702867817839,,-96.98871307768454,-107.48157370409933
30th < 2035,30th < 2035 < d029,East,,238.3672740386095,,-24.105415720953374,-214.26185831765616
30th < 2035,30th < 2035 < d029,West,,80.48847291725863,,-30.529875187668818,-49.95859772958982
30th < 2035,30th < 2035 < d030,East,146.6293502312221,2.7541905578176857,,-149.38354078903978,
30th < 2035,30th < 2035 < d030,West,174.9781238955913,,,-174.97812389559127,
30th < 2035,30th < 2035 < d031,East,192.84332576762702,,,-192.843325767627,
30th < 2035,30th < 2035 < d031,West,221.02499860495743,,,-221.02499860495743,
