timestep_superordinate_dispatch,region,technology,carrier,variable,value
10th < 2020,none,none,electricity,costExpExc,546.5571124444132
20th < 2025,none,none,electricity,costExpExc,495.0336160725788
20th < 2030,none,none,electricity,costExpExc,448.3671979784485
30th < 2035,none,none,electricity,costExpExc,396.43273446605673
30th < 2040,none,none,electricity,costExpExc,518.5285883369709
10th < 2020,East,methanation,none,costVarUse,0.0
20th < 2025,East,methanation,none,costVarUse,0.0
20th < 2030,East,methanation,none,costVarUse,0.0
30th < 2035,East,methanation,none,costVarUse,0.0
30th < 2040,East,methanation,none,costVarUse,7820.913165039163
10th < 2020,West,methanation,none,costVarUse,0.0
20th < 2025,West,methanation,none,costVarUse,0.0
20th < 2030,West,methanation,none,costVarUse,0.0
30th < 2035,West,methanation,none,costVarUse,0.0
30th < 2040,West,methanation,none,costVarUse,1343.0106902152418
10th < 2020,East,none,coal,costTrdBuy,310.2080018357476
10th < 2020,East,none,gas < naturalGas < fossilGas,costTrdBuy,19775.735969655816
10th < 2020,East,none,gas < hydrogen,costTrdBuy,0.0
10th < 2020,West,none,coal,costTrdBuy,0.0
10th < 2020,West,none,gas < naturalGas < fossilGas,costTrdBuy,18942.698968801644
10th < 2020,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,East,none,coal,costTrdBuy,0.0
20th < 2025,East,none,gas < naturalGas < fossilGas,costTrdBuy,14453.151220688376
20th < 2025,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2025,West,none,coal,costTrdBuy,0.0
20th < 2025,West,none,gas < naturalGas < fossilGas,costTrdBuy,13339.324274192397
20th < 2025,West,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,East,none,coal,costTrdBuy,0.0
20th < 2030,East,none,gas < naturalGas < fossilGas,costTrdBuy,10472.531487767155
20th < 2030,East,none,gas < hydrogen,costTrdBuy,0.0
20th < 2030,West,none,coal,costTrdBuy,0.0
20th < 2030,West,none,gas < naturalGas < fossilGas,costTrdBuy,10472.531487768218
20th < 2030,West,none,gas < hydrogen,costTrdBuy,0.0
30th < 2035,East,none,coal,costTrdBuy,0.0
30th < 2035,East,none,gas < naturalGas < fossilGas,costTrdBuy,5218.62669696337
30th < 2035,East,none,gas < hydrogen,costTrdBuy,0.0
30th < 2035,West,none,coal,costTrdBuy,0.0
30th < 2035,West,none,gas < naturalGas < fossilGas,costTrdBuy,4005.787295377946
30th < 2035,West,none,gas < hydrogen,costTrdBuy,0.0
30th < 2040,East,none,coal,costTrdBuy,0.0
30th < 2040,East,none,gas < hydrogen,costTrdBuy,0.0
30th < 2040,West,none,coal,costTrdBuy,0.0
30th < 2040,West,none,gas < hydrogen,costTrdBuy,0.0
10th < 2020,East,autoReforming,none,costOprConv,0.0
10th < 2020,East,methanation,none,costOprConv,0.0
10th < 2020,East,gasPlant < ocgt < gasFueled,none,costOprConv,2516.1266296822423
10th < 2020,East,electrolysis,none,costOprConv,0.0
20th < 2025,East,autoReforming,none,costOprConv,0.0
20th < 2025,East,methanation,none,costOprConv,0.0
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2025,East,gasPlant < ocgt < gasFueled,none,costOprConv,2237.5418935692956
20th < 2025,East,electrolysis,none,costOprConv,0.0
20th < 2030,East,autoReforming,none,costOprConv,0.0
20th < 2030,East,methanation,none,costOprConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2030,East,gasPlant < ocgt < gasFueled,none,costOprConv,1910.4865842245297
20th < 2030,East,electrolysis,none,costOprConv,0.0
30th < 2035,East,autoReforming,none,costOprConv,0.0
30th < 2035,East,methanation,none,costOprConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,342.4007381511107
30th < 2035,East,gasPlant < ocgt < gasFueled,none,costOprConv,1511.3551942947129
30th < 2035,East,electrolysis,none,costOprConv,363.7343615272936
10th < 2020,West,autoReforming,none,costOprConv,0.0
10th < 2020,West,methanation,none,costOprConv,0.0
10th < 2020,West,gasPlant < ocgt < gasFueled,none,costOprConv,2658.4039236766193
10th < 2020,West,electrolysis,none,costOprConv,0.0
20th < 2025,West,autoReforming,none,costOprConv,0.0
20th < 2025,West,methanation,none,costOprConv,0.0
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2025,West,gasPlant < ocgt < gasFueled,none,costOprConv,2407.798338646651
20th < 2025,West,electrolysis,none,costOprConv,0.0
20th < 2030,West,autoReforming,none,costOprConv,0.0
20th < 2030,West,methanation,none,costOprConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,0.0
20th < 2030,West,gasPlant < ocgt < gasFueled,none,costOprConv,2180.817139169557
20th < 2030,West,electrolysis,none,costOprConv,0.0
30th < 2035,West,autoReforming,none,costOprConv,0.0
30th < 2035,West,methanation,none,costOprConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,398.0495953726511
30th < 2035,West,gasPlant < ocgt < gasFueled,none,costOprConv,1426.7123885288422
30th < 2035,West,electrolysis,none,costOprConv,519.8261494740503
30th < 2040,East,autoReforming,none,costOprConv,0.0
30th < 2040,East,methanation,none,costOprConv,766.6591645345875
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,costOprConv,3485.5566175290464
30th < 2040,East,gasPlant < ocgt < gasFueled,none,costOprConv,0.0
30th < 2040,East,electrolysis,none,costOprConv,495.1828634816994
30th < 2040,West,autoReforming,none,costOprConv,0.0
30th < 2040,West,methanation,none,costOprConv,229.41026235679854
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,costOprConv,2378.383642584503
30th < 2040,West,gasPlant < ocgt < gasFueled,none,costOprConv,0.0
30th < 2040,West,electrolysis,none,costOprConv,1335.0790364830357
10th < 2020,East < EastNorth,coalPlant,none,costOprConv,1522.7686572393138
10th < 2020,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,58.60620559904579
10th < 2020,East < EastNorth,gasBoiler,none,costOprConv,809.0496873972565
10th < 2020,East < EastNorth,heatpump < air,none,costOprConv,29.182617444511184
10th < 2020,East < EastNorth,heatpump < ground < individual,none,costOprConv,37.563366146048075
10th < 2020,East < EastNorth,wind < offshore,none,costOprConv,1200.0
10th < 2020,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,East < EastNorth,heatpump < ground < network,none,costOprConv,15.734042996027647
10th < 2020,East < EastNorth,wind < onshore < highFLH,none,costOprConv,995.5615595140807
20th < 2025,East < EastNorth,coalPlant,none,costOprConv,0.0
20th < 2025,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,53.0814460582823
20th < 2025,East < EastNorth,gasBoiler,none,costOprConv,639.0366165593778
20th < 2025,East < EastNorth,heatpump < air,none,costOprConv,26.431595730973743
20th < 2025,East < EastNorth,heatpump < ground < individual,none,costOprConv,34.02229803939777
20th < 2025,East < EastNorth,wind < offshore,none,costOprConv,1086.8769717958992
20th < 2025,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,East < EastNorth,heatpump < ground < network,none,costOprConv,14.250807504690838
20th < 2025,East < EastNorth,wind < onshore < highFLH,none,costOprConv,901.7107775342228
20th < 2030,East < EastNorth,coalPlant,none,costOprConv,0.0
20th < 2030,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,48.07750112531103
20th < 2030,East < EastNorth,gasBoiler,none,costOprConv,458.5207207690769
20th < 2030,East < EastNorth,heatpump < air,none,costOprConv,23.9399106065118
20th < 2030,East < EastNorth,heatpump < ground < individual,none,costOprConv,30.8150435554985
20th < 2030,East < EastNorth,wind < offshore,none,costOprConv,984.4179598501865
20th < 2030,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,East < EastNorth,heatpump < ground < network,none,costOprConv,13.227224892166497
20th < 2030,East < EastNorth,wind < onshore < highFLH,none,costOprConv,852.3499759499961
30th < 2035,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,41.47207480193281
30th < 2035,East < EastNorth,gasBoiler,none,costOprConv,287.2407054194193
30th < 2035,East < EastNorth,heatpump < air,none,costOprConv,20.650777186548694
30th < 2035,East < EastNorth,heatpump < ground < individual,none,costOprConv,26.581327262153632
30th < 2035,East < EastNorth,wind < offshore,none,costOprConv,849.167579672308
30th < 2035,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,East < EastNorth,heatpump < ground < network,none,costOprConv,12.408296084960398
30th < 2035,East < EastNorth,wind < onshore < highFLH,none,costOprConv,1549.5893338633857
30th < 2040,East < EastNorth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,East < EastNorth,gasBoiler,none,costOprConv,104.2287252545475
30th < 2040,East < EastNorth,heatpump < air,none,costOprConv,17.813541805476998
30th < 2040,East < EastNorth,heatpump < ground < individual,none,costOprConv,22.92928639692398
30th < 2040,East < EastNorth,wind < offshore,none,costOprConv,732.4994136395724
30th < 2040,East < EastNorth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,East < EastNorth,heatpump < ground < network,none,costOprConv,16.83863208445535
30th < 2040,East < EastNorth,wind < onshore < highFLH,none,costOprConv,1373.4364005741982
10th < 2020,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,73.38975295736363
10th < 2020,East < EastSouth,gasBoiler,none,costOprConv,2034.2771496421853
10th < 2020,East < EastSouth,heatpump < air,none,costOprConv,73.01738255548881
10th < 2020,East < EastSouth,heatpump < ground < individual,none,costOprConv,93.83663385395192
10th < 2020,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,East < EastSouth,heatpump < ground < network,none,costOprConv,61.08113416234684
10th < 2020,East < EastSouth,wind < onshore < highFLH,none,costOprConv,797.8429275821967
20th < 2025,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,66.47136037929042
20th < 2025,East < EastSouth,gasBoiler,none,costOprConv,1542.5505681128016
20th < 2025,East < EastSouth,heatpump < air,none,costOprConv,66.13409303364367
20th < 2025,East < EastSouth,heatpump < ground < individual,none,costOprConv,84.99073037225317
20th < 2025,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,East < EastSouth,heatpump < ground < network,none,costOprConv,55.32306511019215
20th < 2025,East < EastSouth,wind < onshore < highFLH,none,costOprConv,722.630920916094
20th < 2030,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,60.205159066830895
20th < 2030,East < EastSouth,gasBoiler,none,costOprConv,1096.9457242008427
20th < 2030,East < EastSouth,heatpump < air,none,costOprConv,59.899685640729075
20th < 2030,East < EastSouth,heatpump < ground < individual,none,costOprConv,76.9787230480969
20th < 2030,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2030,East < EastSouth,heatpump < ground < network,none,costOprConv,50.107804564527505
20th < 2030,East < EastSouth,wind < onshore < highFLH,none,costOprConv,758.1540820417979
30th < 2035,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,51.93349907629421
30th < 2035,East < EastSouth,gasBoiler,none,costOprConv,692.5274482036019
30th < 2035,East < EastSouth,heatpump < air,none,costOprConv,51.66999501554287
30th < 2035,East < EastSouth,heatpump < ground < individual,none,costOprConv,66.40252271196408
30th < 2035,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2035,East < EastSouth,heatpump < ground < network,none,costOprConv,43.223432383566326
30th < 2035,East < EastSouth,wind < onshore < highFLH,none,costOprConv,847.4107708137856
30th < 2040,East < EastSouth,gasPlant < ccgt < CHP,none,costOprConv,0.0
30th < 2040,East < EastSouth,gasBoiler,none,costOprConv,260.95186980118615
30th < 2040,East < EastSouth,heatpump < air,none,costOprConv,44.57099158949325
30th < 2040,East < EastSouth,heatpump < ground < individual,none,costOprConv,57.279399396609186
30th < 2040,East < EastSouth,wind < onshore < lowFLH,none,costOprConv,0.0
30th < 2040,East < EastSouth,heatpump < ground < network,none,costOprConv,42.096580216250864
30th < 2040,East < EastSouth,wind < onshore < highFLH,none,costOprConv,732.4994136395724
10th < 2020,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,7.994920770724267
10th < 2020,West < WestNorth,gasBoiler,none,costOprConv,575.9464209498079
10th < 2020,West < WestNorth,heatpump < air,none,costOprConv,32.13710459255335
10th < 2020,West < WestNorth,heatpump < ground < individual,none,costOprConv,36.14039459733139
10th < 2020,West < WestNorth,wind < offshore,none,costOprConv,600.0
10th < 2020,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
10th < 2020,West < WestNorth,heatpump < ground < network,none,costOprConv,6.550235363326137
10th < 2020,West < WestNorth,wind < onshore < highFLH,none,costOprConv,1950.0
20th < 2025,West < WestNorth,gasPlant < ccgt < CHP,none,costOprConv,7.241246064194106
20th < 2025,West < WestNorth,gasBoiler,none,costOprConv,399.8205924485114
20th < 2025,West < WestNorth,heatpump < air,none,costOprConv,29.107565768202058
20th < 2025,West < WestNorth,heatpump < ground < individual,none,costOprConv,32.73346886621368
20th < 2025,West < WestNorth,wind < offshore,none,costOprConv,543.4384858979496
20th < 2025,West < WestNorth,wind < onshore < lowFLH,none,costOprConv,0.0
20th < 2025,West < WestNorth,heatpump < ground < network,none,costOprConv,6.326971660908873
