timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2020,East,West,electricity,17.17479529982564,expExc
20th < 2025,East,West,electricity,0.0,expExc
20th < 2030,East,West,electricity,0.0,expExc
30th < 2035,East,West,electricity,0.0,expExc
30th < 2040,East,West,electricity,8.217438710626805,expExc
10th < 2020,West,East,electricity,17.17479529982564,expExc
20th < 2025,West,East,electricity,0.0,expExc
20th < 2030,West,East,electricity,0.0,expExc
30th < 2035,West,East,electricity,0.0,expExc
30th < 2040,West,East,electricity,8.217438710626805,expExc
10th < 2020,East,West,electricity,17.17479529982564,capaExc
20th < 2025,East,West,electricity,17.17479529982564,capaExc
20th < 2030,East,West,electricity,17.17479529982564,capaExc
30th < 2035,East,West,electricity,17.17479529982564,capaExc
30th < 2040,East,West,electricity,25.392234010452444,capaExc
10th < 2020,West,East,electricity,19.17479529982564,capaExc
20th < 2025,West,East,electricity,19.17479529982564,capaExc
20th < 2030,West,East,electricity,19.17479529982564,capaExc
30th < 2035,West,East,electricity,19.17479529982564,capaExc
30th < 2040,West,East,electricity,27.392234010452444,capaExc
10th < 2020,East,West,gas < naturalGas,8.0,capaExc
20th < 2025,East,West,gas < naturalGas,8.0,capaExc
20th < 2030,East,West,gas < naturalGas,8.0,capaExc
30th < 2035,East,West,gas < naturalGas,8.0,capaExc
30th < 2040,East,West,gas < naturalGas,8.0,capaExc
10th < 2020,West,East,gas < naturalGas,8.0,capaExc
20th < 2025,West,East,gas < naturalGas,8.0,capaExc
20th < 2030,West,East,gas < naturalGas,8.0,capaExc
30th < 2035,West,East,gas < naturalGas,8.0,capaExc
30th < 2040,West,East,gas < naturalGas,8.0,capaExc
10th < 2020,East,West,electricity,2.4250447769270638,exc
20th < 2025,East,West,electricity,3.24736242155125,exc
20th < 2030,East,West,electricity,3.423935786372647,exc
30th < 2035,East,West,electricity,12.891535488899013,exc
30th < 2040,East,West,electricity,10.699663075600718,exc
10th < 2020,West,East,electricity,117.83978668752499,exc
20th < 2025,West,East,electricity,74.22692977953947,exc
20th < 2030,West,East,electricity,76.98570991846381,exc
30th < 2035,West,East,electricity,75.3715622528681,exc
30th < 2040,West,East,electricity,137.26657741516598,exc
10th < 2020,East,West,gas < naturalGas < fossilGas,0.0,exc
10th < 2020,East,West,gas < naturalGas < synthGas,0.0,exc
20th < 2025,East,West,gas < naturalGas < fossilGas,0.0,exc
20th < 2025,East,West,gas < naturalGas < synthGas,0.0,exc
20th < 2030,East,West,gas < naturalGas < fossilGas,0.0,exc
20th < 2030,East,West,gas < naturalGas < synthGas,0.0,exc
30th < 2035,East,West,gas < naturalGas < fossilGas,33.39112567321695,exc
30th < 2035,East,West,gas < naturalGas < synthGas,0.0,exc
30th < 2040,East,West,gas < naturalGas < fossilGas,0.0,exc
30th < 2040,East,West,gas < naturalGas < synthGas,2.1618609152678583,exc
10th < 2020,West,East,gas < naturalGas < fossilGas,0.0,exc
10th < 2020,West,East,gas < naturalGas < synthGas,0.0,exc
20th < 2025,West,East,gas < naturalGas < fossilGas,0.0,exc
20th < 2025,West,East,gas < naturalGas < synthGas,0.0,exc
20th < 2030,West,East,gas < naturalGas < fossilGas,0.0,exc
20th < 2030,West,East,gas < naturalGas < synthGas,0.0,exc
30th < 2035,West,East,gas < naturalGas < fossilGas,0.0,exc
30th < 2035,West,East,gas < naturalGas < synthGas,0.0,exc
30th < 2040,West,East,gas < naturalGas < fossilGas,0.0,exc
30th < 2040,West,East,gas < naturalGas < synthGas,0.028996891094835144,exc
10th < 2020,East,West,electricity,141.19788530764515,flhExc
20th < 2025,East,West,electricity,189.0772125583481,flhExc
20th < 2030,East,West,electricity,199.358171471622,flhExc
30th < 2035,East,West,electricity,750.6078100989006,flhExc
30th < 2040,East,West,electricity,421.3754123089885,flhExc
10th < 2020,West,East,electricity,6145.556437235944,flhExc
20th < 2025,West,East,electricity,3871.067649948495,flhExc
20th < 2030,West,East,electricity,4014.942987118296,flhExc
30th < 2035,West,East,electricity,3930.7622884273223,flhExc
30th < 2040,West,East,electricity,5011.149414202114,flhExc
10th < 2020,East,West,gas < naturalGas < fossilGas,0.0,flhExc
10th < 2020,East,West,gas < naturalGas < synthGas,0.0,flhExc
20th < 2025,East,West,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2025,East,West,gas < naturalGas < synthGas,0.0,flhExc
20th < 2030,East,West,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2030,East,West,gas < naturalGas < synthGas,0.0,flhExc
30th < 2035,East,West,gas < naturalGas < fossilGas,4173.890709152119,flhExc
30th < 2035,East,West,gas < naturalGas < synthGas,0.0,flhExc
30th < 2040,East,West,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2040,East,West,gas < naturalGas < synthGas,270.2326144084823,flhExc
10th < 2020,West,East,gas < naturalGas < fossilGas,0.0,flhExc
10th < 2020,West,East,gas < naturalGas < synthGas,0.0,flhExc
20th < 2025,West,East,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2025,West,East,gas < naturalGas < synthGas,0.0,flhExc
20th < 2030,West,East,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2030,West,East,gas < naturalGas < synthGas,0.0,flhExc
30th < 2035,West,East,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2035,West,East,gas < naturalGas < synthGas,0.0,flhExc
30th < 2040,West,East,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2040,West,East,gas < naturalGas < synthGas,3.6246113868543928,flhExc
