timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,stExtOut; gasStorage,gen; electrolysis,use; methanation,use; gasPlant < ocgt < hydrogenFueled,stExtIn; gasStorage
30th < 2035,30th < 2035 < d001 < hh0001 < h0001,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0001 < h0001,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0001 < h0002,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0001 < h0002,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0001 < h0003,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0001 < h0003,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0001 < h0004,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0001 < h0004,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0002 < h0005,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0002 < h0005,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0002 < h0006,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0002 < h0006,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0002 < h0007,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0002 < h0007,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0002 < h0008,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0002 < h0008,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0003 < h0009,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0003 < h0009,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0003 < h0010,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0003 < h0010,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0003 < h0011,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0003 < h0011,West,8.9287057915797,,,-8.9287057915797,
30th < 2035,30th < 2035 < d001 < hh0003 < h0012,East,8.064385554692103,,,-8.064385554692103,
30th < 2035,30th < 2035 < d001 < hh0003 < h0012,West,8.9287057915797,,,-8.9287057915797,
