timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
20th < 2025,East,coalPlant,none,capaConv,10.0
20th < 2030,East,coalPlant,none,capaConv,10.0
10th < 2020,East,coalPlant,none,commCapaConv,9.32013183694307
20th < 2025,East,coalPlant,none,commCapaConv,0.0
20th < 2030,East,coalPlant,none,commCapaConv,0.0
10th < 2020,East,heatpump < air,none,expConv,7.0
10th < 2020,West,heatpump < air,none,expConv,7.0
20th < 2025,East,heatpump < air,none,expConv,0.0
20th < 2025,West,heatpump < air,none,expConv,0.0
20th < 2030,East,heatpump < air,none,expConv,0.0
20th < 2030,West,heatpump < air,none,expConv,0.0
30th < 2035,East,heatpump < air,none,expConv,0.0
30th < 2035,West,heatpump < air,none,expConv,0.0
30th < 2040,East,heatpump < air,none,expConv,0.0
30th < 2040,West,heatpump < air,none,expConv,0.0
10th < 2020,East,heatpump < air,none,capaConv,7.0
20th < 2025,East,heatpump < air,none,capaConv,7.0
20th < 2030,East,heatpump < air,none,capaConv,7.0
30th < 2035,East,heatpump < air,none,capaConv,7.0
30th < 2040,East,heatpump < air,none,capaConv,7.0
10th < 2020,West,heatpump < air,none,capaConv,7.0
20th < 2025,West,heatpump < air,none,capaConv,7.0
20th < 2030,West,heatpump < air,none,capaConv,7.0
30th < 2035,West,heatpump < air,none,capaConv,7.0
30th < 2040,West,heatpump < air,none,capaConv,7.0
10th < 2020,East,heatpump < air,none,commCapaConv,7.0
20th < 2025,East,heatpump < air,none,commCapaConv,7.0
20th < 2030,East,heatpump < air,none,commCapaConv,7.0
30th < 2035,East,heatpump < air,none,commCapaConv,7.0
30th < 2040,East,heatpump < air,none,commCapaConv,7.0
10th < 2020,West,heatpump < air,none,commCapaConv,7.0
20th < 2025,West,heatpump < air,none,commCapaConv,7.0
20th < 2030,West,heatpump < air,none,commCapaConv,7.0
30th < 2035,West,heatpump < air,none,commCapaConv,7.0
30th < 2040,West,heatpump < air,none,commCapaConv,7.0
10th < 2020,East,methanation,none,expConv,0.0
10th < 2020,West,methanation,none,expConv,0.0
20th < 2025,East,methanation,none,expConv,0.0
20th < 2025,West,methanation,none,expConv,0.0
20th < 2030,East,methanation,none,expConv,0.0
20th < 2030,West,methanation,none,expConv,0.0
30th < 2035,East,methanation,none,expConv,0.0
30th < 2035,West,methanation,none,expConv,0.0
30th < 2040,East,methanation,none,expConv,36.22344557177006
30th < 2040,West,methanation,none,expConv,6.298840733674977
10th < 2020,East,methanation,none,capaConv,0.0
20th < 2025,East,methanation,none,capaConv,0.0
20th < 2030,East,methanation,none,capaConv,0.0
30th < 2035,East,methanation,none,capaConv,0.0
30th < 2040,East,methanation,none,capaConv,36.22344557177006
10th < 2020,West,methanation,none,capaConv,0.0
20th < 2025,West,methanation,none,capaConv,0.0
20th < 2030,West,methanation,none,capaConv,0.0
30th < 2035,West,methanation,none,capaConv,0.0
30th < 2040,West,methanation,none,capaConv,6.298840733674977
10th < 2020,East,methanation,none,commCapaConv,0.0
20th < 2025,East,methanation,none,commCapaConv,0.0
20th < 2030,East,methanation,none,commCapaConv,0.0
30th < 2035,East,methanation,none,commCapaConv,0.0
30th < 2040,East,methanation,none,commCapaConv,36.22344557177006
10th < 2020,West,methanation,none,commCapaConv,0.0
20th < 2025,West,methanation,none,commCapaConv,0.0
20th < 2030,West,methanation,none,commCapaConv,0.0
30th < 2035,West,methanation,none,commCapaConv,0.0
30th < 2040,West,methanation,none,commCapaConv,6.298840733674976
10th < 2020,East < EastNorth,solar < openspace,none,expConv,0.0
10th < 2020,East < EastSouth,solar < openspace,none,expConv,0.0
10th < 2020,West < WestNorth,solar < openspace,none,expConv,67.0
10th < 2020,West < WestSouth,solar < openspace,none,expConv,44.39827715735121
20th < 2025,East < EastNorth,solar < openspace,none,expConv,40.0
20th < 2025,East < EastSouth,solar < openspace,none,expConv,63.0
20th < 2025,West < WestNorth,solar < openspace,none,expConv,0.0
20th < 2025,West < WestSouth,solar < openspace,none,expConv,5.601722842648788
20th < 2030,East < EastNorth,solar < openspace,none,expConv,0.0
20th < 2030,East < EastSouth,solar < openspace,none,expConv,0.0
20th < 2030,West < WestNorth,solar < openspace,none,expConv,0.0
20th < 2030,West < WestSouth,solar < openspace,none,expConv,0.0
